chr - Tb927_01_v5.1 1 0 1064671 grey
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2080923 2087747 black
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2087748 2088547 white
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2088548 2267367 black
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2267368 2336964 white
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2336965 2341445 black
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2341446 2480109 white
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2480110 2481836 black
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2481837 2488591 white
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2488592 2490318 black
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2490319 2497241 white
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2497242 2524898 black
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2524899 2530049 white
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2530050 2544002 black
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2544003 2556963 white
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2556964 2557292 black
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2557293 2646425 white
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2646426 2710379 black
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2710380 2742796 white
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2742797 2791887 black
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2791888 2806537 white
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2806538 2863375 black
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2863376 2887966 white
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2887967 2954617 black
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2954618 2980451 white
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2980452 2993284 black
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2993285 2995585 white
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 2995586 3018156 black
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 3018157 3049988 white
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 3049989 3542884 black
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 0 18205 white
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 18206 34177 black
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 34178 57551 white
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 57552 235916 black
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 235917 465661 white
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 465662 716951 black
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 716952 836032 white
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 836033 969281 black
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 969282 975134 white
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 975135 1018300 black
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 1018301 1132869 white
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 1132870 1243966 black
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 1243967 1245511 white
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 1245512 1318069 black
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 1318070 1624429 white
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 1624430 1748199 black
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 1748200 1790085 white
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 1790086 1890808 black
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 1890809 1894052 white
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 1894053 1894200 black
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 1894201 1895979 white
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 1895980 1910939 black
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 1910940 1915951 white
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 1915952 1927484 black
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 1927485 1942253 white
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 1942254 1951179 black
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 1951180 1962654 white
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 1962655 2162735 black
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 2162736 2198106 white
band Tb927_07_v5.1 Tb927_07_v5.1_band Tb927_07_v5.1_band 2198107 2205232 black
