"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Gene Type","Input ID"
"Tb927.10.8980","Tb927.10.8980:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,227,030..2,227,666(+)","hypothetical protein, conserved","protein coding","Tb927.10.8980"
"Tb927.10.8990","Tb927.10.8990:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,228,357..2,229,647(+)","hypothetical protein, conserved","protein coding","Tb927.10.8990"
"Tb927.10.90","Tb927.10.90:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:46,932..48,086(-)","hypothetical protein","protein coding","Tb927.10.90"
"Tb927.10.900","Tb927.10.900:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:248,446..249,155(+)","hypothetical protein, conserved","protein coding","Tb927.10.900"
"Tb927.10.9000","Tb927.10.9000:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,229,869..2,235,005(+)","Mitochondrial processome subunit 2","protein coding","Tb927.10.9000"
"Tb927.10.9010","Tb927.10.9010:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,235,141..2,235,944(+)","leucine-rich repeat protein (LRRP), putative","protein coding","Tb927.10.9010"
"Tb927.10.9020","Tb927.10.9020:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,236,060..2,237,640(+)","Gcd10p family, putative","protein coding","Tb927.10.9020"
"Tb927.10.9025","Tb927.10.9025:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,237,783..2,238,289(+)","hypothetical protein","protein coding","NTCDS.Tb10.NT.100"
"Tb927.10.9030","Tb927.10.9030:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,238,579..2,239,147(+)","Mechanosensitive ion channel MscS, putative","protein coding","Tb927.10.9030"
"Tb927.10.9040","Tb927.10.9040:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,239,401..2,244,313(+)","hypothetical protein, conserved","protein coding","Tb927.10.9040"
"Tb927.10.9050","Tb927.10.9050:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,244,421..2,246,688(+)","pseudouridine synthase TruD, putative","protein coding","Tb927.10.9050"
"Tb927.10.9060","Tb927.10.9060:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,246,835..2,248,375(+)","hypothetical protein, conserved","protein coding","Tb927.10.9060"
"Tb927.10.9070","Tb927.10.9070:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,248,548..2,250,535(+)","hypothetical protein, conserved","protein coding","Tb927.10.9070"
"Tb927.10.9080","Tb927.10.9080:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,250,675..2,253,112(+)","pteridine transporter, putative","protein coding","Tb927.10.9080"
"Tb927.10.9090","Tb927.10.9090:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,254,241..2,256,339(+)","Cullin binding, putative","protein coding","Tb927.10.9090"
"Tb927.10.910","Tb927.10.910:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:249,246..251,747(+)","DNA repair and recombination helicase protein PIF6","protein coding","Tb927.10.910"
"Tb927.10.9100","Tb927.10.9100:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,256,502..2,258,814(+)","hypothetical protein, conserved","protein coding","Tb927.10.9100"
"Tb927.10.9110","Tb927.10.9110:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,258,965..2,259,947(+)","hypothetical protein, conserved","protein coding","Tb927.10.9110"
"Tb927.10.9120","Tb927.10.9120:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,260,218..2,261,843(+)","hypothetical protein, conserved","protein coding","Tb927.10.9120"
"Tb927.10.9130","Tb927.10.9130:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,261,972..2,264,365(+)","pre-mRNA splicing factor ATP-dependent RNA helicase, putative","protein coding","Tb927.10.9130"
"Tb927.10.9140","Tb927.10.9140:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,264,513..2,266,556(+)","FAD dependent oxidoreductase, putative","protein coding","Tb927.10.9140"
"Tb927.10.9150","Tb927.10.9150:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,266,773..2,268,051(+)","hypothetical protein, conserved","protein coding","Tb927.10.9150"
"Tb927.10.9160","Tb927.10.9160:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,268,184..2,270,450(+)","Cyclin 12, L-type","protein coding","Tb927.10.9160"
"Tb927.10.9170","Tb927.10.9170:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,270,565..2,271,226(+)","hypothetical protein, conserved","protein coding","Tb927.10.9170"
"Tb927.10.9180","Tb927.10.9180:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,271,715..2,273,769(+)","PRA1 family protein, putative","protein coding","Tb927.10.9180"
"Tb927.10.9190","Tb927.10.9190.1:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,274,281..2,278,046(+)","isoleucyl-tRNA synthetase, putative","protein coding","Tb927.10.9190"
"Tb927.10.9190","Tb927.10.9190.2:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,274,281..2,278,046(+)","isoleucyl-tRNA synthetase, putative","protein coding","Tb927.10.9190"
"Tb927.10.920","Tb927.10.920:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:252,101..253,203(+)","Ribosomal protein L1p/L10e family, putative","protein coding","Tb927.10.920"
"Tb927.10.9200","Tb927.10.9200:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,274,769..2,280,406(+)","Nuclease-related domain containing protein, putative","protein coding","Tb927.10.9200"
"Tb927.10.9210","Tb927.10.9210:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,280,551..2,282,250(+)","hypothetical protein, conserved","protein coding","Tb927.10.9210"
"Tb927.10.9220","Tb927.10.9220:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,282,437..2,283,436(+)","hypothetical protein, conserved","protein coding","Tb927.10.9220"
"Tb927.10.9230","Tb927.10.9230:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,286,219..2,288,594(+)","beta adaptin, putative","protein coding","Tb927.10.9230"
"Tb927.10.9240","Tb927.10.9240:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,289,156..2,290,445(+)","Tir chaperone protein (CesT) family, putative","protein coding","Tb927.10.9240"
"Tb927.10.9250","Tb927.10.9250:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,291,656..2,293,217(+)","adenylyl cyclase-associated protein, putative","protein coding","Tb927.10.9250"
"Tb927.10.9260","Tb927.10.9260:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,293,378..2,294,885(+)","hypothetical protein, conserved","protein coding","Tb927.10.9260"
"Tb927.10.9270","Tb927.10.9270:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,295,286..2,297,066(+)","emp24/gp25L/p24 family/GOLD, putative","protein coding","Tb927.10.9270"
"Tb927.10.9280","Tb927.10.9280:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,297,231..2,300,146(+)","hypothetical protein, conserved","protein coding","Tb927.10.9280"
"Tb927.10.9290","Tb927.10.9290:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,300,466..2,302,000(+)","Phosphoseryl-tRNA Kinase, putative","protein coding","Tb927.10.9290"
"Tb927.10.930","Tb927.10.930:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:253,336..256,863(+)","hypothetical protein, conserved","protein coding","Tb927.10.930"
"Tb927.10.9300","Tb927.10.9300:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,302,142..2,303,807(+)","adiponectin receptor protein 1","protein coding","Tb927.10.9300"
"Tb927.10.9310","Tb927.10.9310:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,303,979..2,305,200(+)","Haemolysin-III related, putative","protein coding","Tb927.10.9310"
"Tb927.10.9320","Tb927.10.9320:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,305,968..2,307,309(+)","hypothetical protein, conserved","protein coding","Tb927.10.9320"
"Tb927.10.9330","Tb927.10.9330:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,309,533..2,311,734(+)","hypothetical protein, conserved","protein coding","Tb927.10.9330"
"Tb927.10.9350","Tb927.10.9350:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,313,926..2,316,545(+)","hypothetical protein, conserved","protein coding","Tb927.10.9350"
"Tb927.10.9360","Tb927.10.9360:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,316,844..2,318,946(+)","L-2-hydroxyglutarate dehydrogenase, mitochondrial, putative","protein coding","Tb927.10.9360"
"Tb927.10.9370","Tb927.10.9370:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,319,557..2,320,621(+)","hypothetical protein, conserved","protein coding","Tb927.10.9370"
"Tb927.10.9380","Tb927.10.9380:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,321,015..2,322,954(+)","SEP domain/UBX domain containing protein, putative","protein coding","Tb927.10.9380"
"Tb927.10.9390","Tb927.10.9390:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,323,223..2,324,349(+)","Macrocin-O-methyltransferase (TylF), putative","protein coding","Tb927.10.9390"
"Tb927.10.940","Tb927.10.940:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:257,541..258,271(+)","hypothetical protein, conserved","protein coding","Tb927.10.940"
"Tb927.10.9400","Tb927.10.9400:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,324,458..2,325,447(+)","splicing factor 1","protein coding","Tb927.10.9400"
"Tb927.10.9410","Tb927.10.9410:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,325,565..2,326,990(+)","Selenophosphate synthetase 2","protein coding","Tb927.10.9410"
"Tb927.10.9420","Tb927.10.9420:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,327,147..2,328,833(+)","mitochondrial chaperone BCS1, putative","protein coding","Tb927.10.9420"
"Tb927.10.9430","Tb927.10.9430:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,329,126..2,330,380(+)","phosphoribosylpyrophosphate synthetase, putative","protein coding","Tb927.10.9430"
"Tb927.10.9440","Tb927.10.9440:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,331,289..2,334,727(+)","NADH dehydrogenase","protein coding","Tb927.10.9440"
"Tb927.10.9445","Tb927.10.9445:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,337,045..2,337,399(+)","hypothetical protein","protein coding","NTCDS.Tb10.NT.105"
"Tb927.10.9450","Tb927.10.9450:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,337,592..2,340,379(+)","invariant surface glycoprotein, putative","protein coding","Tb927.10.9450"
"Tb927.10.9465","Tb927.10.9465:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,338,767..2,341,225(+)","hypothetical protein","protein coding","NTCDS.Tb10.NT.107"
"Tb927.10.9470","Tb927.10.9470:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,342,112..2,343,287(+)","expression site-associated gene 3 (ESAG3) protein, putative","protein coding","Tb927.10.9470"
"Tb927.10.9480","Tb927.10.9480:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,343,403..2,344,578(+)","expression site-associated gene 3 (ESAG3) protein, putative","protein coding","Tb927.10.9480"
"Tb927.10.9490","Tb927.10.9490:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,344,667..2,345,875(+)","expression site-associated gene 3 (ESAG3)-like protein","protein coding","Tb927.10.9490"
"Tb927.10.950","Tb927.10.950:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:258,521..259,947(+)","hypothetical protein, conserved","protein coding","Tb927.10.950"
"Tb927.10.9500","Tb927.10.9500:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,345,946..2,347,181(+)","expression site-associated gene 3 (ESAG3) protein, putative","protein coding","Tb927.10.9500"
"Tb927.10.9510","Tb927.10.9510:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,350,151..2,350,784(+)","hypothetical protein","protein coding","Tb927.10.9510"
"Tb927.10.9550","Tb927.10.9550:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,357,428..2,358,033(+)","hypothetical protein","protein coding","Tb927.10.9550"
"Tb927.10.9560","Tb927.10.9560:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,358,887..2,359,936(+)","oxidoreductase, putative","protein coding","Tb927.10.9560"
"Tb927.10.9570","Tb927.10.9570:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,360,281..2,363,808(+)","paraflagellar rod component, putative","protein coding","Tb927.10.9570"
"Tb927.10.9590","Tb927.10.9590.1:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,363,946..2,366,885(+)","hypothetical protein, conserved","protein coding","Tb927.10.9590"
"Tb927.10.9590","Tb927.10.9590.2:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,363,946..2,366,885(+)","hypothetical protein, conserved","protein coding","Tb927.10.9590"
"Tb927.10.960","Tb927.10.960:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:260,249..262,273(+)","U4/U6-specific protein PRP4","protein coding","Tb927.10.960"
"Tb927.10.9600","Tb927.10.9600:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,367,059..2,369,102(+)","CMGC/DYRK protein kinase, putative","protein coding","Tb927.10.9600"
"Tb927.10.9610","Tb927.10.9610:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,369,780..2,372,184(+)","hypothetical protein","protein coding","Tb927.10.9610"
"Tb927.10.9620","Tb927.10.9620:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,372,831..2,374,230(+)","NADH-ubiquinone oxidoreductase c","protein coding","Tb927.10.9620"
"Tb927.10.9630","Tb927.10.9630:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,374,367..2,374,849(+)","hypothetical protein","protein coding","Tb927.10.9630"
"Tb927.10.9640","Tb927.10.9640:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,375,145..2,376,366(+)","hypothetical protein, conserved","protein coding","Tb927.10.9640"
"Tb927.10.9650","Tb927.10.9650:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,377,468..2,381,904(+)","Nucleoporin NUP152","protein coding","Tb927.10.9650"
"Tb927.10.9660","Tb927.10.9660:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,382,352..2,384,790(+)","Splicing factor CRN, putative","protein coding","Tb927.10.9660"
"Tb927.10.9670","Tb927.10.9670:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,384,901..2,387,992(+)","ADP-ribosylation factor family, putative","protein coding","Tb927.10.9670"
"Tb927.10.9675","Tb927.10.9675:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,388,389..2,389,099(+)","hypothetical protein","protein coding","NTCDS.Tb10.NT.110"
"Tb927.10.9680","Tb927.10.9680:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,389,223..2,390,844(+)","SET domain containing protein, putative","protein coding","Tb927.10.9680"
"Tb927.10.9690","Tb927.10.9690:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,390,978..2,397,658(+)","predicted C2 domain protein","protein coding","Tb927.10.9690"
"Tb927.10.970","Tb927.10.970:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:262,451..267,814(+)","Tetratricopeptide repeat, putative","protein coding","Tb927.10.970"
"Tb927.10.9700","Tb927.10.9700:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,397,782..2,402,312(+)","Flagellum attachment zone protein 22","protein coding","Tb927.10.9700"
"Tb927.10.9710","Tb927.10.9710:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,402,390..2,402,869(+)","hypothetical protein","protein coding","Tb927.10.9710"
"Tb927.10.9720","Tb927.10.9720:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,403,370..2,405,485(+)","RNA-editing-associated protein 1","protein coding","Tb927.10.9720"
"Tb927.10.9730","Tb927.10.9730:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,405,668..2,407,190(+)","hypothetical protein, conserved","protein coding","Tb927.10.9730"
"Tb927.10.9740","Tb927.10.9740:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,407,356..2,409,320(+)","Regulatory particle triple-A ATPase subunit 6","protein coding","Tb927.10.9740"
"Tb927.10.9750","Tb927.10.9750:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,409,545..2,417,903(+)","ubiquitin-protein ligase, putative","protein coding","Tb927.10.9750"
"Tb927.10.9760","Tb927.10.9760:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,418,016..2,419,536(+)","alternative oxidase","protein coding","Tb927.10.9760"
"Tb927.10.9770","Tb927.10.9770:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,419,664..2,422,073(+)","gamma-tubulin complex component 2","protein coding","Tb927.10.9770"
"Tb927.10.9780","Tb927.10.9780:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,422,262..2,425,902(+)","ATP-dependent DEAD/H RNA helicase, putative","protein coding","Tb927.10.9780"
"Tb927.10.9790","Tb927.10.9790:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,426,026..2,426,599(+)","hypothetical protein, conserved","protein coding","Tb927.10.9790"
"Tb927.10.980","Tb927.10.980:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:267,988..270,103(+)","RNA polymerase III transcription factor (TF)IIIC subunit, putative","protein coding","Tb927.10.980"
"Tb927.10.9800","Tb927.10.9800:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,426,818..2,427,541(+)","60S ribosomal protein L22","protein coding","Tb927.10.9800"
"Tb927.10.9810","Tb927.10.9810:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,428,219..2,429,379(+)","hypothetical protein, conserved","protein coding","Tb927.10.9810"
"Tb927.10.9820","Tb927.10.9820:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,429,554..2,431,661(+)","mitochondrial intermediate peptidase","protein coding","Tb927.10.9820"
"Tb927.10.9830","Tb927.10.9830:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,432,074..2,433,436(+)","Mitochondrial ATP synthase subunit, putative","protein coding","Tb927.10.9830"
"Tb927.10.9840","Tb927.10.9840:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,433,368..2,434,587(+)","chaperone protein DnaJ, putative","protein coding","Tb927.10.9840"
"Tb927.10.9850","Tb927.10.9850:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,434,818..2,436,612(+)","amino acid transporter, putative","protein coding","Tb927.10.9850"
"Tb927.10.9860","Tb927.10.9860:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,437,121..2,438,865(+)","Mitochondrial N(5)-glutamine methyltransferase MTQ1, putative","protein coding","Tb927.10.9860"
"Tb927.10.9870","Tb927.10.9870:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,439,033..2,439,860(+)","Component of motile flagella 12","protein coding","Tb927.10.9870"
"Tb927.10.9880","Tb927.10.9880:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,440,509..2,441,208(+)","60S ribosomal protein L18, putative","protein coding","Tb927.10.9880"
"Tb927.10.9890","Tb927.10.9890:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,441,353..2,445,030(+)","hypothetical protein, conserved","protein coding","Tb927.10.9890"
"Tb927.10.990","Tb927.10.990:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:270,829..272,410(+)","Enriched in surface-labeled proteome protein 6","protein coding","Tb927.10.990"
"Tb927.10.9900","Tb927.10.9900:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,445,593..2,447,396(+)","ABC1 protein, putative","protein coding","Tb927.10.9900"
"Tb927.10.9910","Tb927.10.9910:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,447,532..2,450,931(+)","PSP1 C-terminal conserved region, putative","protein coding","Tb927.10.9910"
"Tb927.10.9920","Tb927.10.9920:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,451,296..2,453,380(+)","hypothetical protein, conserved","protein coding","Tb927.10.9920"
"Tb927.10.9930","Tb927.10.9930:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,453,502..2,455,542(+)","PHD-zinc-finger like domain containing protein, putative","protein coding","Tb927.10.9930"
"Tb927.10.9940","Tb927.10.9940:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,455,828..2,456,546(+)","Predicted membrane protein, putative","protein coding","Tb927.10.9940"
"Tb927.10.9950","Tb927.10.9950:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,456,710..2,458,101(+)","hypothetical protein, conserved","protein coding","Tb927.10.9950"
"Tb927.10.9960","Tb927.10.9960:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,458,238..2,459,762(+)","hypothetical protein, conserved","protein coding","Tb927.10.9960"
"Tb927.10.9970","Tb927.10.9970:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,459,956..2,463,477(+)","hypothetical protein, conserved","protein coding","Tb927.10.9970"
"Tb927.10.9980","Tb927.10.9980:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,463,604..2,464,704(+)","hypothetical protein, conserved","protein coding","Tb927.10.9980"
"Tb927.10.9990","Tb927.10.9990:mRNA","Trypanosoma brucei brucei TREU927","Tb927_10_v5.1:2,464,890..2,466,036(+)","non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family, putative","protein coding","Tb927.10.9990"
"Tb927.11.100","Tb927.11.100:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,911..4,369(-)","variant surface glycoprotein (VSG), putative","protein coding","Tb927.11.100"
"Tb927.11.1000","Tb927.11.1000:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:257,981..258,656(+)","kinetoplastid kinetochore protein 16","protein coding","Tb927.11.1000"
"Tb927.11.10000","Tb927.11.10000:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,692,709..2,694,262(+)","Charged multivesicular body protein 3, putative","protein coding","Tb927.11.10000"
"Tb927.11.10010","Tb927.11.10010:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,694,373..2,696,196(+)","vacuolar sorting-associated protein-like, putative","protein coding","Tb927.11.10010"
"Tb927.11.10020","Tb927.11.10020:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,696,555..2,697,582(+)","short-chain dehydrogenase, putative","protein coding","Tb927.11.10020"
"Tb927.11.10025","Tb927.11.10025:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,697,733..2,698,137(+)","60S ribosomal protein L29, putative","protein coding","NTCDS.Tb11.NT.118"
"Tb927.11.10030","Tb927.11.10030:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,698,338..2,698,575(+)","60S ribosomal protein L29, putative","protein coding","Tb927.11.10030"
"Tb927.11.10040","Tb927.11.10040:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,698,827..2,699,700(+)","hypothetical protein, conserved","protein coding","Tb927.11.10040"
"Tb927.11.10050","Tb927.11.10050:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,699,856..2,700,554(+)","Mitoribosomal LSU assembly factor 19","protein coding","Tb927.11.10050"
"Tb927.11.10060","Tb927.11.10060:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,700,663..2,702,067(+)","Biotin--acetyl-CoA-carboxylase ligase, putative","protein coding","Tb927.11.10060"
"Tb927.11.10070","Tb927.11.10070:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,702,185..2,703,455(+)","Bromodomain, putative","protein coding","Tb927.11.10070"
"Tb927.11.10075","Tb927.11.10075:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,703,551..2,704,043(+)","hypothetical protein","protein coding","NTCDS.Tb11.NT.119"
"Tb927.11.10080","Tb927.11.10080:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,704,350..2,705,227(+)","LSU ribosomal protein, mitochondrial, putative","protein coding","Tb927.11.10080"
"Tb927.11.10090","Tb927.11.10090:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,705,352..2,706,803(+)","hypothetical protein, conserved","protein coding","Tb927.11.10090"
"Tb927.11.1010","Tb927.11.1010:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:258,773..260,238(+)","chaperone protein DnaJ, putative","protein coding","Tb927.11.1010"
"Tb927.11.10100","Tb927.11.10100:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,707,397..2,708,051(+)","hypothetical protein, conserved","protein coding","Tb927.11.10100"
"Tb927.11.10110","Tb927.11.10110:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,708,707..2,709,897(+)","actin-like protein, putative","protein coding","Tb927.11.10110"
"Tb927.11.10120","Tb927.11.10120:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,710,260..2,712,814(+)","hypothetical protein, conserved","protein coding","Tb927.11.10120"
"Tb927.11.10130","Tb927.11.10130:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,713,448..2,714,477(+)","hypothetical protein, conserved","protein coding","Tb927.11.10130"
"Tb927.11.10140","Tb927.11.10140:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,714,698..2,715,775(+)","hypothetical protein, conserved","protein coding","Tb927.11.10140"
"Tb927.11.10150","Tb927.11.10150:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,716,095..2,720,097(+)","Enoyl-CoA hydratase/isomerase family, putative","protein coding","Tb927.11.10150"
"Tb927.11.10160","Tb927.11.10160:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,720,489..2,721,015(+)","60S ribosomal protein L22, putative","protein coding","Tb927.11.10160"
"Tb927.11.10170","Tb927.11.10170:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,721,200..2,722,142(+)","Mitochondrial ribosomal protein L20","protein coding","Tb927.11.10170"
"Tb927.11.10180","Tb927.11.10180:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,722,525..2,724,587(+)","hypothetical protein, conserved","protein coding","Tb927.11.10180"
