"Gene_acc","Gene_id","bsf","pcf","rank_bsf","rank_pcf","Desc","prot_group"
"aa2763aa","Tb927.11.14470","5.03","3.91","1728.00","1940.00","Bardet-Biedl syndrome 9 protein","PG2123"
"aa2764aa","Tb927.11.14480","3.32","3.64","422.00","993.00","ubiquitin carboxyl-terminal hydrolase, putative","PG2124"
"aa2765aa","Tb927.11.14490","6.29","5.23","4541.00","2893.00","RNA polymerase subunit, putative","PG2125"
"aa2766aa","Tb927.11.14495","3.28","6.45","236.00","5356.00","hypothetical protein","PG2126"
"aa2767aa","Tb927.11.1450","7.17","7.50","5961.00","6336.00","2-oxoglutarate dehydrogenase E1 component, putative","PG2127"
"aa2768aa","Tb927.11.14520","5.73","5.36","3190.00","3112.00","Polypeptide deformylase 1","PG2128"
"aa2769aa","Tb927.11.14540","5.32","3.58","2253.00","530.00","hypothetical protein, conserved","PG2129"
"aa276aa","Tb11.v5.0179","4.99","5.41","1675.00","3203.00","hypothetical protein, conserved","PG133"
"aa2770aa","Tb927.11.14550","3.28","3.56","254.00","333.00","PPPDE putative peptidase domain containing protein, putative","PG2130"
"aa2771aa","Tb927.11.14560","6.27","5.78","4475.00","3970.00","Cleavage and polyadenylation specificity factor CPSF160, putative","PG2131"
"aa2772aa","Tb927.11.14570","3.52","5.83","799.00","4097.00","LicD family, putative","PG2132"
"aa2773aa","Tb927.11.14580","5.32","5.63","2251.00","3613.00","Bifunctional Monophosphate RNA Kinase/RNA guanylyltransferase","PG2133"
"aa2774aa","Tb927.11.14590","6.95","6.07","5708.00","4635.00","G5-interacting protein","PG2134"
"aa2775aa","Tb927.11.1460","4.52","3.74","1179.00","1559.00","phosphatidylinositol (3,5) kinase, putative","PG2135"
"aa2776aa","Tb927.11.14600","6.11","3.68","4130.00","1315.00","procyclin-associated gene 2-like protein, putative","PG2136"
"aa2777aa","Tb927.11.14610","5.79","3.63","3327.00","951.00","procyclin-associated gene 4 (PAG4) protein, putative","PG2137"
"aa2778aa","Tb927.11.14620","6.41","3.58","4819.00","469.00","expression site-associated gene 2 (ESAG2) protein, putative","PG2138"
"aa2779aa","Tb927.11.14650","4.98","5.04","1656.00","2611.00","SUMO-interacting motif-containing protein","PG2139"
"aa277aa","Tb927.7.4990","6.18","5.32","4277.00","3042.00","hypothetical protein, conserved","PG134"
"aa2780aa","Tb927.11.14660","3.25","5.90","152.00","4250.00","hypothetical protein, conserved","PG2140"
"aa2781aa","Tb927.11.14670","3.19","5.34","21.00","3077.00","hypothetical protein, conserved","PG2141"
"aa2782aa","Tb927.11.14680","4.95","4.35","1624.00","2164.00","phosphatidylinositol 3-related kinase, putative","PG2142"
"aa2783aa","Tb927.11.14690","6.41","3.60","4800.00","684.00","Microtubule-binding protein MIP-T3, putative","PG2143"
"aa2784aa","Tb927.11.1470","4.33","3.57","1065.00","408.00","65 kDa invariant surface glycoprotein-like protein","PG2144"
"aa2785aa","Tb927.11.14700","3.27","5.77","221.00","3936.00","hypothetical protein, conserved","PG2145"
"aa2786aa","Tb927.11.14710","3.35","3.69","507.00","1326.00","rRNA processing, putative","PG2146"
"aa2787aa","Tb11.v5.0715","3.35","3.69","507.00","1326.00","hypothetical protein, conserved","PG2146"
"aa2788aa","Tb927.11.14720","4.91","3.59","1570.00","546.00","hypothetical protein, conserved","PG2147"
"aa2789aa","Tb11.v5.0716","4.91","3.59","1570.00","546.00","hypothetical protein, conserved","PG2147"
"aa278aa","Tb11.v5.0180","6.18","5.32","4277.00","3042.00","hypothetical protein, conserved","PG134"
"aa2790aa","Tb927.11.14730","6.64","6.81","5227.00","5825.00","Metalloprotease M41 FtsH, putative","PG2148"
"aa2791aa","Tb927.11.14740","5.10","3.58","1843.00","502.00","YqaJ-like viral recombinase domain containing protein, putative","PG2149"
"aa2792aa","Tb927.11.14750","6.41","5.81","4812.00","4031.00","PSP1 C-terminal conserved region, putative","PG2150"
"aa2793aa","Tb927.11.14760","5.45","3.66","2514.00","1164.00","Clustered mitochondria/Translation initiation factor eIF3 subunit 135, putative","PG2151"
"aa2794aa","Tb927.11.14770","5.26","5.96","2130.00","4375.00","hypothetical protein, conserved","PG2152"
"aa2795aa","Tb927.11.14780","6.56","7.24","5097.00","6198.00","phosphomannose isomerase","PG2153"
"aa2796aa","Tb927.11.1480","3.30","5.56","316.00","3476.00","receptor-type adenylate cyclase GRESAG 4, putative","PG2154"
"aa2797aa","Tb11.v5.1016","3.30","5.56","316.00","3476.00","receptor-type adenylate cyclase GRESAG 4 (pseudogene), putative","PG2154"
"aa2798aa","Tb11.v5.0784","3.30","5.56","316.00","3476.00","receptor-type adenylate cyclase GRESAG 4, putative","PG2154"
"aa2799aa","Tb927.11.14800","4.59","3.59","1243.00","564.00","hypothetical protein, conserved","PG2155"
"aa279aa","Tb927.7.5020","7.97","7.76","6452.00","6467.00","60S ribosomal protein L19, putative","PG135"
"aa27aa","Tb927.10.20","7.04","3.59","5798.00","583.00","expression site-associated gene 1 (ESAG1) protein, putative","PG8"
"aa2800aa","Tb927.11.14810","3.32","3.57","405.00","379.00","hypothetical protein, conserved","PG2156"
"aa2801aa","Tb927.11.14820","3.36","3.58","539.00","451.00","hypothetical protein, conserved","PG2157"
"aa2802aa","Tb927.11.14830","5.68","3.69","3068.00","1336.00","hypothetical protein, conserved","PG2158"
"aa2803aa","Tb927.11.14840","4.33","3.62","1067.00","823.00","chromosomal passenger complex 2","PG2159"
"aa2804aa","Tb927.11.14850","5.02","4.26","1717.00","2143.00","hypothetical protein, conserved","PG2160"
"aa2805aa","Tb927.11.14870","6.61","6.42","5199.00","5310.00","NAD+ synthase, putative","PG2161"
"aa2806aa","Tb927.11.14880","7.89","7.54","6423.00","6368.00","Paraflagellar Rod Proteome Component 9, putative","PG2162"
"aa2807aa","Tb927.11.14890","5.89","5.84","3580.00","4107.00","DNA polymerase alpha/epsilon subunit B, putative","PG2163"
"aa2808aa","Tb927.11.14900","7.12","6.53","5892.00","5473.00","coatomer subunit epsilon","PG2164"
"aa2809aa","Tb927.11.14910","6.31","5.38","4579.00","3158.00","protein phosphatase 2C, putative","PG2165"
"aa280aa","Tb927.7.5000","7.97","7.76","6452.00","6467.00","60S ribosomal protein L19, putative","PG135"
"aa2810aa","Tb927.11.14920","5.32","4.04","2246.00","2070.00","hypothetical protein, conserved","PG2166"
"aa2811aa","Tb927.11.14930","3.28","3.57","252.00","385.00","hypothetical protein, conserved","PG2167"
"aa2812aa","Tb927.11.14950","7.77","5.59","6366.00","3545.00","zinc finger protein 2","PG2168"
"aa2813aa","Tb927.11.14960","6.28","6.12","4501.00","4748.00","pumilio/PUF RNA binding protein 7, putative","PG2169"
"aa2814aa","Tb927.11.14970","6.20","6.50","4328.00","5423.00","hypothetical protein, conserved","PG2170"
"aa2815aa","Tb927.11.14980","5.23","6.04","2075.00","4559.00","mitochondrial ribosomal protein L38","PG2171"
"aa2816aa","Tb927.11.14990","5.62","5.09","2902.00","2690.00","hypothetical protein, conserved","PG2172"
"aa2817aa","Tb927.11.14995","5.77","3.54","3290.00","172.00","hypothetical protein","PG2173"
"aa2818aa","Tb927.11.15000","6.78","6.79","5441.00","5797.00","survival of motor neuron (SMN)-like protein","PG2174"
"aa2819aa","Tb927.11.15010","3.32","5.80","418.00","4003.00","Serine/threonine-protein kinase NEK21, putative","PG2175"
"aa281aa","Tb11.v5.0182","7.97","7.76","6452.00","6467.00","60S ribosomal protein L19, putative","PG135"
"aa2820aa","Tb927.11.15020","7.46","7.23","6222.00","6192.00","iron superoxide dismutase","PG2176"
"aa2821aa","Tb927.11.15030","7.34","3.84","6130.00","1816.00","small GTPase","PG2177"
"aa2822aa","Tb927.11.15040","6.56","7.03","5090.00","6046.00","Chaperonin HSP60, mitochondrial","PG2178"
"aa2823aa","Tb927.11.15050","5.04","5.78","1739.00","3965.00","Cation efflux family, putative","PG2179"
"aa2824aa","Tb927.11.15060","5.47","3.75","2568.00","1610.00","hypothetical protein, conserved","PG2180"
"aa2825aa","Tb927.11.15060","5.47","3.75","2568.00","1610.00","hypothetical protein, conserved","PG2180"
"aa2826aa","Tb927.11.15070","5.29","5.38","2179.00","3151.00","Basal body protein","PG2181"
"aa2827aa","Tb927.11.15090","5.16","3.56","1948.00","356.00","hypothetical protein, conserved","PG2182"
"aa2828aa","Tb927.11.15100","7.21","6.79","5996.00","5796.00","Tb5.20","PG2183"
"aa2829aa","Tb927.11.15110","4.92","3.62","1571.00","867.00","Vitamin B6 photo-protection and homoeostasis, putative","PG2184"
"aa282aa","Tb11.v5.0181","7.97","7.76","6452.00","6467.00","60S ribosomal protein L19, putative","PG135"
"aa2830aa","Tb927.11.15120","6.27","5.72","4482.00","3831.00","hypothetical protein, conserved","PG2185"
"aa2831aa","Tb927.11.15130","7.32","6.80","6116.00","5808.00","DnaJ homolog, putative","PG2186"
"aa2832aa","Tb927.11.15140","7.23","6.38","6021.00","5233.00","bilobe region protein, putative","PG2187"
"aa2833aa","Tb927.11.15150","7.37","6.43","6150.00","5328.00","1-acyl-sn-glycerol-3-phosphate acyltransferase, putative","PG2188"
"aa2834aa","Tb927.11.15160","4.95","3.54","1617.00","162.00","hypothetical protein, conserved","PG2189"
"aa2835aa","Tb927.11.15170","5.60","3.74","2871.00","1584.00","ribosome biogenesis protein TSR3, putative","PG2190"
"aa2836aa","Tb927.11.15180","6.49","6.53","4980.00","5460.00","hypothetical protein, conserved","PG2191"
"aa2837aa","Tb927.11.15190","6.41","6.01","4810.00","4487.00","Domain of unknown function (DUF4200), putative","PG2192"
"aa2838aa","Tb927.11.1520","3.32","3.59","404.00","561.00","expression site-associated gene 3 (ESAG3) protein, putative","PG2193"
"aa2839aa","Tb927.11.15200","6.17","3.63","4256.00","933.00","hypothetical protein, conserved","PG2194"
"aa283aa","Tb927.7.5030","6.46","5.26","4922.00","2938.00","hypothetical protein, conserved","PG136"
"aa2840aa","Tb927.11.15210","6.39","5.61","4742.00","3573.00","TLR4 regulator and MIR-interacting MSAP, putative","PG2195"
"aa2841aa","Tb927.11.15220","6.74","5.62","5386.00","3598.00","hypothetical protein, conserved","PG2196"
"aa2842aa","Tb927.11.15230","6.85","6.33","5545.00","5151.00","cytosolic coat protein, putative","PG2197"
"aa2843aa","Tb927.11.15240","7.13","6.76","5910.00","5772.00","Ras-related protein RAB2B, putative","PG2198"
"aa2844aa","Tb927.11.15250","5.34","4.82","2283.00","2369.00","hypothetical protein, conserved","PG2199"
"aa2845aa","Tb927.11.15270","6.42","6.15","4823.00","4815.00","phosphopantetheine adenylyltransferase, putative","PG2200"
"aa2846aa","Tb927.11.15280","4.45","3.62","1139.00","875.00","tRNA-sepcific adenosine deaminase","PG2201"
"aa2847aa","Tb927.11.15290","5.86","3.65","3499.00","1073.00","eRF1 methyltransferase catalytic subunit, putative","PG2202"
"aa2848aa","Tb927.11.15300","3.58","3.59","846.00","630.00","hypothetical protein, conserved","PG2203"
"aa2849aa","Tb927.11.15310","5.76","5.32","3252.00","3029.00","hypothetical protein, conserved","PG2204"
"aa284aa","Tb11.v5.0183","6.46","5.26","4922.00","2938.00","hypothetical protein, conserved","PG136"
"aa2850aa","Tb927.11.15320","3.38","3.57","583.00","421.00","hypothetical protein","PG2205"
"aa2851aa","Tb927.11.15340","4.50","4.61","1167.00","2251.00","hypothetical protein, conserved","PG2206"
"aa2852aa","Tb927.11.15350","6.22","5.80","4368.00","4001.00","RNA-binding protein, putative","PG2207"
"aa2853aa","Tb927.11.15370","7.30","6.96","6091.00","5973.00","Importin subunit beta-4, putative","PG2208"
"aa2854aa","Tb927.11.15375","6.59","3.54","5145.00","212.00","hypothetical protein","PG2209"
"aa2855aa","Tb927.11.1540","6.04","7.22","3978.00","6180.00","isovaleryl-CoA dehydrogenase","PG2210"
"aa2856aa","Tb927.11.15400","5.52","5.42","2656.00","3209.00","synaptobrevin, putative","PG2211"
"aa2857aa","Tb11.v5.0678","5.52","5.42","2656.00","3209.00","hypothetical protein, conserved","PG2211"
"aa2858aa","Tb927.11.15420","7.10","6.94","5867.00","5964.00","eukaryotic translation initiation factor 3 subunit k","PG2212"
"aa2859aa","Tb927.11.15430","6.23","5.54","4403.00","3453.00","U5 small nuclear ribonucleoprotein component, putative","PG2213"
"aa285aa","Tb927.7.5040","4.47","3.52","1150.00","111.00","kinesin, putative","PG137"
"aa2860aa","Tb927.11.15440","5.08","5.64","1795.00","3646.00","NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative","PG2214"
"aa2861aa","Tb927.11.15450","4.96","5.52","1632.00","3400.00","Basal body protein","PG2215"
"aa2862aa","Tb927.11.15460","5.57","5.27","2781.00","2952.00","ATP-dependent DEAD/H RNA helicase, putative","PG2216"
"aa2863aa","Tb927.11.15480","7.55","6.66","6270.00","5648.00","heat shock protein Hsp20, putative","PG2217"
"aa2864aa","Tb927.11.15490","5.82","5.74","3393.00","3873.00","Tb-291 membrane associated protein, putative","PG2218"
"aa2865aa","Tb927.11.1550","5.32","4.92","2243.00","2471.00","XRN 5'-3' exonuclease N-terminus, putative","PG2219"
"aa2866aa","Tb927.11.15500","5.08","3.77","1797.00","1655.00","LSU ribosomal protein, mitochondrial, putative","PG2220"
"aa2867aa","Tb927.11.15520","5.29","5.04","2196.00","2612.00","hypothetical protein, conserved","PG2221"
"aa2868aa","Tb927.11.15530","3.26","3.72","184.00","1495.00","C-14 sterol reductase, putative","PG2222"
"aa2869aa","Tb927.11.15550","3.35","7.54","500.00","6365.00","NADH-cytochrome b5 reductase, putative","PG2223"
"aa286aa","Tb11.v5.0184","4.47","3.52","1150.00","111.00","hypothetical protein, conserved","PG137"
"aa2870aa","Tb927.11.15560","6.52","3.78","5038.00","1675.00","Nucleoporin NUP53a","PG2224"
"aa2871aa","Tb927.11.15580","5.69","5.95","3108.00","4360.00","TFIIF-like transcription factor subunit 2","PG2225"
"aa2872aa","Tb927.11.15590","3.32","5.88","419.00","4214.00","hypothetical protein, conserved","PG2226"
"aa2873aa","Tb927.11.1560","7.54","7.23","6268.00","6189.00","1,2-Dihydroxy-3-keto-5-methylthiopentene dioxygenase, putative","PG2227"
"aa2874aa","Tb927.11.15610","5.25","3.68","2112.00","1312.00","hypothetical protein, conserved","PG2228"
"aa2875aa","Tb927.11.15630","5.98","5.84","3814.00","4114.00","NOL1/NOP2/sun family, putative","PG2229"
"aa2876aa","Tb927.11.15640","6.29","6.12","4547.00","4750.00","mitochondrial RNA binding complex 1 subunit","PG2230"
"aa2877aa","Tb927.11.15675","6.09","3.55","4079.00","254.00","hypothetical protein","PG2231"
"aa2878aa","Tb927.11.15680","7.60","7.06","6302.00","6061.00","hypothetical protein, conserved","PG2232"
"aa2879aa","Tb927.11.15690","5.63","5.27","2952.00","2946.00","U5 snRNP-associated 102 kDa protein, putative","PG2233"
"aa287aa","Tb927.7.5050","6.62","6.37","5205.00","5199.00","hypothetical protein, conserved","PG138"
"aa2880aa","Tb927.11.15700","3.25","6.29","146.00","5075.00","hypothetical protein, conserved","PG2234"
"aa2881aa","Tb927.11.15710","5.07","3.64","1778.00","996.00","mediator of rna polymerase ii transcription subunit 1","PG2235"
"aa2882aa","Tb927.11.15730","6.21","5.73","4352.00","3841.00","cyclic nucleotide-binding domain containing protein, putative","PG2236"
"aa2883aa","Tb927.11.15740","5.80","3.58","3359.00","482.00","hypothetical protein, conserved","PG2237"
"aa2884aa","Tb927.11.15750","6.06","5.61","4021.00","3582.00","AMP deaminase, putative","PG2238"
"aa2885aa","Tb927.11.15760","6.85","5.35","5543.00","3101.00","GPI transamidase subunit Tta1","PG2239"
"aa2886aa","Tb927.11.15770","5.68","3.68","3070.00","1271.00","hypothetical protein, conserved","PG2240"
"aa2887aa","Tb927.11.15790","4.99","3.66","1685.00","1186.00","hypothetical protein, conserved","PG2241"
"aa2888aa","Tb927.11.15800","5.87","5.19","3526.00","2829.00","Cytokinesis initiation factor 1","PG2242"
"aa2889aa","Tb927.11.15810","3.30","3.63","308.00","907.00","NADH-ubiquinone oxidoreductase B22 subunit","PG2243"
"aa288aa","Tb11.v5.0185","6.62","6.37","5205.00","5199.00","hypothetical protein, conserved","PG138"
"aa2890aa","Tb927.11.15820","5.66","6.00","3015.00","4465.00","iron superoxide dismutase C, mitochondrial","PG2244"
"aa2891aa","Tb927.11.15830","4.23","4.88","1030.00","2427.00","RNA methyltransferase, putative","PG2245"
"aa2892aa","Tb11.v5.0683","4.23","4.88","1030.00","2427.00","variant surface glycoprotein (VSG), putative","PG2245"
"aa2893aa","Tb927.11.15860","6.56","5.24","5094.00","2900.00","L-Lysine transport protein, putative","PG2246"
"aa2894aa","Tb927.11.15840","6.56","5.24","5094.00","2900.00","L-Lysine transport protein, putative","PG2246"
"aa2895aa","Tb927.11.15850","5.51","5.86","2638.00","4167.00","kinteoplast poly(A) polymerase complex 1 subunit","PG2247"
"aa2896aa","Tb927.11.15870","7.06","5.76","5820.00","3900.00","hypothetical protein, conserved","PG2248"
"aa2897aa","Tb927.11.15900","8.30","8.29","6560.00","6589.00","60S ribosomal protein L27, putative","PG2249"
"aa2898aa","Tb927.11.15880","8.30","8.29","6560.00","6589.00","60S ribosomal protein L27, putative","PG2249"
"aa2899aa","Tb927.11.15890","3.46","5.22","736.00","2870.00","hypothetical protein, conserved","PG2250"
"aa289aa","Tb927.7.5070","3.77","3.66","920.00","1204.00","hypothetical protein","PG139"
"aa28aa","Tb09.v4.0065","7.04","3.59","5798.00","583.00","expression site-associated gene 1 (ESAG 1), putative","PG8"
"aa2900aa","Tb927.11.1590","4.84","3.68","1477.00","1307.00","hypothetical protein, conserved","PG2251"
"aa2901aa","Tb927.11.15910","7.62","7.24","6311.00","6201.00","iron superoxide dismutase","PG2252"
"aa2902aa","Tb927.11.15930","5.51","3.54","2632.00","215.00","Sybindin-like family, putative","PG2253"
"aa2903aa","Tb927.11.15940","5.71","5.40","3146.00","3181.00","hypothetical protein, conserved","PG2254"
"aa2904aa","Tb927.11.15950","6.19","3.89","4307.00","1904.00","amino acid transporter, putative","PG2255"
"aa2905aa","Tb927.11.15960","6.25","6.37","4437.00","5209.00","amino acid transporter, putative","PG2256"
"aa2906aa","Tb927.11.15970","6.04","5.33","3955.00","3058.00","Guanine nucleotide exchange factor in Golgi transport N-terminal/Sec7 domain containing protein, putative","PG2257"
"aa2907aa","Tb927.11.15980","4.34","3.69","1070.00","1368.00","hypothetical protein, conserved","PG2258"
"aa2908aa","Tb927.11.15990","6.46","6.12","4919.00","4757.00","Nucleoporin NUP109","PG2259"
"aa2909aa","Tb927.11.160","6.26","3.78","4461.00","1681.00","hypothetical protein, conserved","PG2260"
"aa290aa","Tb11.v5.0187","3.77","3.66","920.00","1204.00","hypothetical protein, conserved","PG139"
"aa2910aa","Tb927.11.1600","5.87","3.92","3522.00","1943.00","tatD related deoxyribonuclease, putative","PG2261"
"aa2911aa","Tb927.11.16000","3.40","3.74","627.00","1570.00","exonuclease, putative","PG2262"
"aa2912aa","Tb927.11.16010","5.27","5.49","2136.00","3343.00","hypothetical protein, conserved","PG2263"
"aa2913aa","Tb927.11.16020","5.31","5.35","2223.00","3089.00","RNA-binding protein, putative","PG2264"
"aa2914aa","Tb927.11.16030","7.01","6.79","5765.00","5805.00","proteasome regulatory non-ATP-ase subunit 7","PG2265"
"aa2915aa","Tb927.11.16040","5.37","5.16","2353.00","2774.00","prefoldin subunit, putative","PG2266"
"aa2916aa","Tb927.11.16050","5.91","5.53","3633.00","3427.00","CS domain/TPR repeat, putative","PG2267"
"aa2917aa","Tb927.11.16060","3.95","3.56","963.00","339.00","zinc finger protein, putative","PG2268"
"aa2918aa","Tb927.11.16070","5.25","3.63","2121.00","918.00","TFIIH basal transcription factor subunit","PG2269"
"aa2919aa","Tb927.11.16080","6.71","7.04","5351.00","6047.00","Soluble NSF attachment protein, SNAP, putative","PG2270"
"aa291aa","Tb927.7.5080","5.03","5.65","1722.00","3674.00","ATP-NAD kinase-like protein","PG140"
"aa2920aa","Tb927.11.16090","6.96","6.64","5717.00","5617.00","Outer dynein arm docking complex protein 2, putative","PG2271"
"aa2921aa","Tb927.11.1610","5.19","3.84","1996.00","1811.00","Exocyst complex component Sec6, putative","PG2272"
"aa2922aa","Tb927.11.16100","5.91","4.63","3638.00","2262.00","ubiquitin carboxyl-terminal hydrolase, putative","PG2273"
"aa2923aa","Tb927.11.16110","6.37","6.09","4712.00","4681.00","integrin alpha chain protein, putative","PG2274"
"aa2924aa","Tb927.11.16120","5.80","5.27","3353.00","2945.00","hypothetical protein, conserved","PG2275"
"aa2925aa","Tb927.11.16130","8.63","8.69","6611.00","6633.00","nucleoside diphosphate kinase","PG2276"
"aa2926aa","Tb927.11.16140","5.11","4.42","1863.00","2184.00","DNA replication licensing factor MCM7","PG2277"
"aa2927aa","Tb927.11.16150","7.03","6.09","5792.00","4668.00","tubulin binding cofactor A, putative","PG2278"
"aa2928aa","Tb927.11.16160","7.06","6.94","5834.00","5965.00","ATP binding protein-like protein","PG2279"
"aa2929aa","Tb927.11.16170","5.44","3.53","2501.00","145.00","hypothetical protein, conserved","PG2280"
"aa292aa","Tb11.v5.0188","5.03","5.65","1722.00","3674.00","ATP-NAD kinase, putative","PG140"
"aa2930aa","Tb927.11.1620","6.55","6.69","5084.00","5681.00","hypothetical protein, conserved","PG2281"
"aa2931aa","Tb927.11.16200","3.43","8.22","678.00","6581.00","cytoskeleton-associated protein 17","PG2282"
"aa2932aa","Tb927.11.16210","4.89","3.75","1539.00","1607.00","cAMP response protein 1, putative","PG2283"
"aa2933aa","Tb927.11.16220","3.44","6.77","704.00","5785.00","Cytochrome b-c1 complex subunit, putative","PG2284"
"aa2934aa","Tb927.11.16230","5.79","5.58","3324.00","3521.00","hypothetical protein, conserved","PG2285"
"aa2935aa","Tb927.11.16240","5.12","3.56","1883.00","352.00","RING-variant domain containing protein, putative","PG2286"
"aa2936aa","Tb927.11.16250","4.32","4.56","1063.00","2229.00","PIN domain containing protein, putative","PG2287"
"aa2937aa","Tb927.11.16250","4.32","4.56","1063.00","2229.00","PIN domain containing protein, putative","PG2287"
"aa2938aa","Tb927.11.16270","3.30","3.64","313.00","1019.00","TFIIH basal transcription factor complex helicase XPB subunit, putative","PG2288"
"aa2939aa","Tb927.5.1110","8.27","7.96","6549.00","6524.00","60S ribosomal protein L8, putative","PG2289"
"aa293aa","Tb927.10.5950","3.50","3.59","775.00","555.00","Serine/threonine-protein kinase NEK17, putative","PG141"
"aa2940aa","Tb927.11.16280","8.27","7.96","6549.00","6524.00","60S ribosomal protein L8, putative","PG2289"
"aa2941aa","Tb927.11.16290","3.38","4.07","587.00","2091.00","AUT2/APG4/ATG4 cysteine peptidase, putative","PG2290"
"aa2942aa","Tb927.11.1630","5.17","5.63","1967.00","3627.00","LSU ribosomal protein, mitochondrial, putative","PG2291"
"aa2943aa","Tb927.11.16300","5.95","4.07","3741.00","2093.00","hypothetical protein, conserved","PG2292"
"aa2944aa","Tb927.11.16320","6.08","6.42","4064.00","5318.00","hypothetical protein, conserved","PG2293"
"aa2945aa","Tb927.11.16330","5.48","5.17","2574.00","2783.00","hypothetical protein, conserved","PG2294"
"aa2946aa","Tb927.11.16340","5.74","4.45","3208.00","2193.00","Importin-beta N-terminal domain/HEAT-like repeat, putative","PG2295"
"aa2947aa","Tb927.11.16350","6.24","3.56","4421.00","355.00","hypothetical protein, conserved","PG2296"
"aa2948aa","Tb927.11.16360","4.98","3.62","1660.00","892.00","WD repeat-containing protein 82, putative","PG2297"
"aa2949aa","Tb927.11.16370","5.36","3.65","2321.00","1089.00","SHQ1 protein, putative","PG2298"
"aa294aa","Tb11.v5.0190","3.50","3.59","775.00","555.00","protein kinase, putative","PG141"
"aa2950aa","Tb927.11.16380","6.53","5.35","5047.00","3092.00","TPR repeat, putative","PG2299"
"aa2951aa","Tb927.11.16390","6.94","6.33","5695.00","5143.00","cyclin dependent kinases regulatory subunit, putative","PG2300"
"aa2952aa","Tb927.11.164","3.20","6.50","33.00","5424.00","Mitoribosomal LSU assembly factor 20","PG2301"
"aa2953aa","Tb927.11.1640","4.63","4.85","1291.00","2399.00","Stumpy formation signalling pathway protein, putative","PG2302"
"aa2954aa","Tb927.11.16400","6.91","7.13","5642.00","6115.00","kinetoplast-associated protein 3, putative","PG2303"
"aa2955aa","Tb927.11.16410","6.18","4.12","4267.00","2110.00","enolase, putative","PG2304"
"aa2956aa","Tb927.11.16420","4.85","3.73","1492.00","1540.00","Methyltransferase TYW3, putative","PG2305"
"aa2957aa","Tb927.11.16430","3.45","3.63","711.00","925.00","18 kDa ER-associated protein","PG2306"
"aa2958aa","Tb927.11.16440","4.54","3.58","1205.00","492.00","Transmembrane protein 18, putative","PG2307"
"aa2959aa","Tb927.11.16450","6.30","5.80","4564.00","4011.00","hypothetical protein, conserved","PG2308"
"aa295aa","Tb11.v5.0191","5.76","4.05","3259.00","2078.00","ELMO/CED-12 family, putative","PG142"
"aa2960aa","Tb927.11.16460","3.38","3.76","569.00","1628.00","hypothetical protein, conserved","PG2309"
"aa2961aa","Tb927.11.16470","5.62","5.18","2915.00","2817.00","SUMO-interacting motif-containing protein","PG2310"
"aa2962aa","Tb927.11.16480","6.69","7.51","5329.00","6348.00","enoyl-CoA hydratase/isomerase family protein, putative","PG2311"
"aa2963aa","Tb927.11.16490","5.69","5.42","3107.00","3218.00","Methyltransferase-associated protein","PG2312"
"aa2964aa","Tb927.11.1650","3.29","6.05","267.00","4579.00","hypothetical protein, conserved","PG2313"
"aa2965aa","Tb927.11.16500","3.38","3.49","578.00","25.00","hypothetical protein, conserved","PG2314"
"aa2966aa","Tb927.11.16510","3.24","6.55","125.00","5503.00","hypothetical protein, conserved","PG2315"
"aa2967aa","Tb927.11.16530","3.94","4.96","959.00","2516.00","hypothetical protein, conserved","PG2316"
"aa2968aa","Tb927.11.16540","7.13","6.73","5906.00","5743.00","Roadblock/LC7 domain containing protein, putative","PG2317"
"aa2969aa","Tb927.11.16550","4.98","7.05","1657.00","6056.00","Zinc finger protein, C3H1 type-like","PG2318"
"aa296aa","Tb927.10.5960","5.76","4.05","3259.00","2078.00","engulfment and cell motility domain 2, putative","PG142"
"aa2970aa","Tb927.11.16560","5.70","3.63","3140.00","911.00","Nucleotide sugar transporter 2","PG2319"
"aa2971aa","Tb927.11.16580","3.24","3.69","135.00","1338.00","hypothetical protein, conserved","PG2320"
"aa2972aa","Tb927.11.16590","5.41","5.27","2414.00","2949.00","RNA-binding protein, putative","PG2321"
"aa2973aa","Tb927.11.1660","6.35","5.78","4665.00","3953.00","vesicular transport protein (CDC48 homologue), putative","PG2322"
"aa2974aa","Tb927.11.16600","5.93","6.11","3682.00","4707.00","exosome-associated protein 2","PG2323"
"aa2975aa","Tb927.11.16610","6.35","5.99","4660.00","4463.00","zinc-finger of a C2HC-type, putative","PG2324"
"aa2976aa","Tb927.11.16630","5.50","5.63","2614.00","3631.00","major facilitator superfamily, putative","PG2325"
"aa2977aa","Tb927.11.16640","5.36","4.85","2324.00","2402.00","Uncharacterised protein family UPF0564, putative","PG2326"
"aa2978aa","Tb927.11.16650","3.62","3.73","869.00","1521.00","hypothetical protein, conserved","PG2327"
"aa2979aa","Tb927.11.16660","5.67","4.88","3056.00","2420.00","Dopey, N-terminal, putative","PG2328"
"aa297aa","Tb927.10.5990","6.16","6.03","4227.00","4553.00","Centrosomal protein of 57 kDa, putative","PG143"
"aa2980aa","Tb927.11.16670","6.27","5.62","4467.00","3585.00","hypothetical protein, conserved","PG2329"
"aa2981aa","Tb927.11.16680","4.04","3.57","984.00","423.00","tRNA pseudouridine synthase D (TruD), putative","PG2330"
"aa2982aa","Tb927.11.16690","5.63","3.66","2954.00","1165.00","Voltage-gated Chloride channel Like 3","PG2331"
