Tb927.9.13440	Tb927_09_v5.1:2132976..2133162:r	Tb927_09_v5.1:2127479..2128238:r
Tb927.5.440	Tb927_05_v5.1:194386..194549:r	Tb927_05_v5.1:191546..192057:r
Tb927.5.450	Tb927_05_v5.1:198037..198750:r	Tb927_05_v5.1:196316..196545:r
Tb927.5.460	Tb927_05_v5.1:199850..200156:r	Tb927_05_v5.1:198909..199516:r
Tb927.5.470	Tb927_05_v5.1:204161..204725:r	Tb927_05_v5.1:200255..202516:r
Tb927.5.480	Tb927_05_v5.1:207714..207802:r	Tb927_05_v5.1:204926..206945:r
Tb927.5.490	Tb927_05_v5.1:211516..211778:r	Tb927_05_v5.1:207949..208737:r
Tb927.5.500	Tb927_05_v5.1:217131..217492:r	Tb927_05_v5.1:211891..212918:r
Tb927.5.550	Tb927_05_v5.1:229468..229739:r	Tb927_05_v5.1:226656..228315:r
Tb927.5.560	Tb927_05_v5.1:231492..231684:r	Tb927_05_v5.1:229830..230009:r
Tb927.5.570	Tb927_05_v5.1:239134..239193:r	Tb927_05_v5.1:231746..232749:r
Tb927.5.610	Tb927_05_v5.1:261811..261859:r	Tb927_05_v5.1:259130..260523:r
Tb927.5.620	Tb927_05_v5.1:264966..265042:r	Tb927_05_v5.1:262588..263699:r
Tb927.5.630	Tb927_05_v5.1:267476..267524:r	Tb927_05_v5.1:265616..266269:r
Tb927.5.640	Tb927_05_v5.1:275949..276064	Tb927_05_v5.1:278516..279944
Tb927.5.650	Tb927_05_v5.1:280665..280739	Tb927_05_v5.1:284586..285547
Tb927.5.670	Tb927_05_v5.1:295027..295063	Tb927_05_v5.1:297953..298022
Tb927.5.700	Tb927_05_v5.1:302214..302668	Tb927_05_v5.1:304733..305128
Tb927.5.710	Tb927_05_v5.1:305851..305949	Tb927_05_v5.1:308848..309167
Tb927.5.720	Tb927_05_v5.1:309294..309424	Tb927_05_v5.1:310151..310298
Tb927.5.750	Tb927_05_v5.1:313451..313450	Tb927_05_v5.1:314105..314429
Tb927.5.760	Tb927_05_v5.1:314574..314951	Tb927_05_v5.1:317175..320526
Tb927.5.770	Tb927_05_v5.1:320668..320710	Tb927_05_v5.1:322892..323306
Tb927.5.780	Tb927_05_v5.1:323412..323438	Tb927_05_v5.1:325002..325472
Tb927.5.790	Tb927_05_v5.1:325593..326393	Tb927_05_v5.1:327387..328892
Tb927.5.800	Tb927_05_v5.1:329107..329484	Tb927_05_v5.1:330484..334686
Tb927.5.810	Tb927_05_v5.1:334792..335108	Tb927_05_v5.1:336204..338288
Tb927.5.820	Tb927_05_v5.1:339826..340068	Tb927_05_v5.1:341104..341846
Tb927.5.830	Tb927_05_v5.1:341968..341993	Tb927_05_v5.1:343785..344529
Tb927.5.850	Tb927_05_v5.1:348137..348359	Tb927_05_v5.1:349536..350395
Tb927.5.860	Tb927_05_v5.1:351110..351333	Tb927_05_v5.1:351658..353384
Tb927.5.890	Tb927_05_v5.1:354037..354178	Tb927_05_v5.1:356585..357202
Tb927.5.900	Tb927_05_v5.1:357337..357478	Tb927_05_v5.1:359945..360514
Tb927.5.920	Tb927_05_v5.1:364364..364425	Tb927_05_v5.1:365776..365970
Tb927.5.940	Tb927_05_v5.1:371396..371429	Tb927_05_v5.1:373866..374159
Tb927.5.950	Tb927_05_v5.1:377913..378043	Tb927_05_v5.1:378713..379212
Tb927.5.960	Tb927_05_v5.1:380153..380193	Tb927_05_v5.1:381202..381218
Tb927.5.980	Tb927_05_v5.1:382030..382113	Tb927_05_v5.1:383032..383296
Tb927.5.990	Tb927_05_v5.1:383432..383473	Tb927_05_v5.1:384065..385104
Tb927.5.1000	Tb927_05_v5.1:385212..385345	Tb927_05_v5.1:385793..387357
Tb927.5.1030	Tb927_05_v5.1:394565..394845	Tb927_05_v5.1:395368..395607
Tb927.5.1040	Tb927_05_v5.1:395825..395824	Tb927_05_v5.1:396419..396822
Tb927.5.1050	Tb927_05_v5.1:396939..397314	Tb927_05_v5.1:398128..399723
Tb927.5.1070	Tb927_05_v5.1:403216..403338	Tb927_05_v5.1:406087..407719
Tb927.5.1090	Tb927_05_v5.1:409428..409712	Tb927_05_v5.1:412113..412842
Tb927.5.1100	Tb927_05_v5.1:415318..415483	Tb927_05_v5.1:417452..419201
Tb927.5.1130	Tb927_05_v5.1:441244..441340	Tb927_05_v5.1:442280..445008
Tb927.5.1140	Tb927_05_v5.1:445150..445214	Tb927_05_v5.1:447102..448881
Tb927.5.1160	Tb927_05_v5.1:452747..452896	Tb927_05_v5.1:453584..454388
Tb927.5.1170	Tb927_05_v5.1:455354..455491	Tb927_05_v5.1:455957..456171
Tb927.5.1200	Tb927_05_v5.1:460201..460502	Tb927_05_v5.1:461433..461682
Tb927.5.1210	Tb927_05_v5.1:461801..462077	Tb927_05_v5.1:463014..464057
Tb927.5.1230	Tb927_05_v5.1:465363..465844	Tb927_05_v5.1:467297..468059
Tb927.5.1260	Tb927_05_v5.1:472304..472411	Tb927_05_v5.1:474134..476619
Tb927.5.1280	Tb927_05_v5.1:477919..478014	Tb927_05_v5.1:478789..479188
Tb927.5.1290	Tb927_05_v5.1:479324..479362	Tb927_05_v5.1:480782..481391
Tb927.5.1300	Tb927_05_v5.1:481542..481691	Tb927_05_v5.1:484044..484683
Tb927.5.1310	Tb927_05_v5.1:484892..484928	Tb927_05_v5.1:486045..487234
Tb927.5.1320	Tb927_05_v5.1:487284..487418	Tb927_05_v5.1:489873..490136
Tb927.5.1330	Tb927_05_v5.1:490231..490396	Tb927_05_v5.1:493355..493584
Tb927.5.1360	Tb927_05_v5.1:498288..498440	Tb927_05_v5.1:498903..499693
Tb927.5.1370	Tb927_05_v5.1:499824..499898	Tb927_05_v5.1:500613..500947
Tb927.5.1390	Tb927_05_v5.1:506964..507016:r	Tb927_05_v5.1:505354..505658:r
Tb927.5.1400	Tb927_05_v5.1:507927..508174:r	Tb927_05_v5.1:507122..507401:r
Tb927.5.1410	Tb927_05_v5.1:509897..509949:r	Tb927_05_v5.1:508269..508588:r
Tb927.5.1420	Tb927_05_v5.1:510866..511113:r	Tb927_05_v5.1:510051..510340:r
Tb927.5.1430	Tb927_05_v5.1:512833..512891:r	Tb927_05_v5.1:511203..511527:r
Tb927.5.1440	Tb927_05_v5.1:514194..514204:r	Tb927_05_v5.1:512995..513284:r
Tb927.5.1460	Tb927_05_v5.1:522578..522614:r	Tb927_05_v5.1:520444..521596:r
Tb927.5.1470	Tb927_05_v5.1:524904..524982:r	Tb927_05_v5.1:522736..524018:r
Tb927.5.1490	Tb927_05_v5.1:531480..531803:r	Tb927_05_v5.1:525184..528122:r
Tb927.5.1520	Tb927_05_v5.1:538782..539010:r	Tb927_05_v5.1:536047..537353:r
Tb927.5.1530	Tb927_05_v5.1:540946..541060:r	Tb927_05_v5.1:539132..539328:r
Tb927.5.1540	Tb927_05_v5.1:543443..543465:r	Tb927_05_v5.1:541172..541234:r
Tb927.5.1550	Tb927_05_v5.1:545691..545810:r	Tb927_05_v5.1:543567..544757:r
Tb927.5.1570	Tb927_05_v5.1:552054..552161:r	Tb927_05_v5.1:548702..551549:r
Tb927.5.1600	Tb927_05_v5.1:564982..565000	Tb927_05_v5.1:566858..568039
Tb927.5.1640	Tb927_05_v5.1:571653..571775	Tb927_05_v5.1:573768..574219
Tb927.5.1650	Tb927_05_v5.1:574781..574864	Tb927_05_v5.1:576917..580511
Tb927.5.1660	Tb927_05_v5.1:580736..581380	Tb927_05_v5.1:582659..584009
Tb927.5.1670	Tb927_05_v5.1:584184..584185	Tb927_05_v5.1:585233..585677
Tb927.5.1680	Tb927_05_v5.1:585799..586031	Tb927_05_v5.1:591288..591745
Tb927.5.1700	Tb927_05_v5.1:594811..594918	Tb927_05_v5.1:595687..597646
Tb927.5.1710	Tb927_05_v5.1:597756..597961	Tb927_05_v5.1:598529..599444
Tb927.5.1720	Tb927_05_v5.1:600077..600107	Tb927_05_v5.1:601998..602357
Tb927.5.1730	Tb927_05_v5.1:602452..602592	Tb927_05_v5.1:603091..604136
Tb927.5.1760	Tb927_05_v5.1:606341..606547	Tb927_05_v5.1:608534..609834
Tb927.5.1780	Tb927_05_v5.1:612331..612454	Tb927_05_v5.1:613859..614423
Tb927.5.1910	Tb927_05_v5.1:649016..649049	Tb927_05_v5.1:652554..652838
Tb927.5.1940	Tb927_05_v5.1:656923..656965	Tb927_05_v5.1:657542..658056
Tb927.5.1950	Tb927_05_v5.1:658717..659004	Tb927_05_v5.1:660841..662833
Tb927.5.1970	Tb927_05_v5.1:664675..664938	Tb927_05_v5.1:665767..668226
Tb927.5.1980	Tb927_05_v5.1:668395..668501	Tb927_05_v5.1:670452..670893
Tb927.5.2020	Tb927_05_v5.1:701202..701220:r	Tb927_05_v5.1:698431..698591:r
Tb927.5.2017	Tb927_05_v5.1:692349..692488	Tb927_05_v5.1:693086..694565
Tb927.5.2016	Tb927_05_v5.1:689851..690000	Tb927_05_v5.1:690598..692232
Tb927.5.2015	Tb927_05_v5.1:687359..687493	Tb927_05_v5.1:688091..688382
Tb927.5.2030	Tb927_05_v5.1:703776..703878:r	Tb927_05_v5.1:702406..702560:r
Tb927.5.2040	Tb927_05_v5.1:705886..706019:r	Tb927_05_v5.1:704611..704904:r
Tb927.5.2090	Tb927_05_v5.1:719977..720202:r	Tb927_05_v5.1:715089..716709:r
Tb927.5.2100	Tb927_05_v5.1:721927..722027:r	Tb927_05_v5.1:720294..720528:r
Tb927.5.2120	Tb927_05_v5.1:727009..728529:r	Tb927_05_v5.1:723085..725952:r
Tb927.5.2130	Tb927_05_v5.1:730503..730580:r	Tb927_05_v5.1:728629..728936:r
Tb927.5.2140	Tb927_05_v5.1:734606..734637:r	Tb927_05_v5.1:730717..732076:r
Tb927.5.2150	Tb927_05_v5.1:737190..737200:r	Tb927_05_v5.1:735303..735599:r
Tb927.5.2190	Tb927_05_v5.1:751870..751884	Tb927_05_v5.1:753226..754225
Tb927.5.2210	Tb927_05_v5.1:754327..754387	Tb927_05_v5.1:755819..755973
Tb927.5.2220	Tb927_05_v5.1:756052..756066	Tb927_05_v5.1:757408..757607
Tb927.5.2240	Tb927_05_v5.1:758509..758569	Tb927_05_v5.1:760001..760120
Tb927.5.2250	Tb927_05_v5.1:760234..760248	Tb927_05_v5.1:761590..761784
Tb927.5.2290	Tb927_05_v5.1:766331..766449	Tb927_05_v5.1:773164..773483
Tb927.5.2300	Tb927_05_v5.1:773622..774220	Tb927_05_v5.1:777053..778227
Tb927.5.2310	Tb927_05_v5.1:778340..778437	Tb927_05_v5.1:780574..781566
Tb927.5.2330	Tb927_05_v5.1:786579..786940	Tb927_05_v5.1:800195..800474
Tb927.5.2350	Tb927_05_v5.1:803258..803307	Tb927_05_v5.1:804811..805849
Tb927.5.2360	Tb927_05_v5.1:805945..806102	Tb927_05_v5.1:808365..811773
Tb927.5.2380	Tb927_05_v5.1:813677..813807	Tb927_05_v5.1:814747..815034
Tb927.5.2390	Tb927_05_v5.1:815126..815286	Tb927_05_v5.1:816316..817915
Tb927.5.2400	Tb927_05_v5.1:818041..818857	Tb927_05_v5.1:821819..824118
Tb927.5.2410	Tb927_05_v5.1:824833..825028	Tb927_05_v5.1:829049..829702
Tb927.5.2420	Tb927_05_v5.1:830293..830493	Tb927_05_v5.1:833302..833396
Tb927.5.2440	Tb927_05_v5.1:837031..837062	Tb927_05_v5.1:840597..841776
Tb927.5.2460	Tb927_05_v5.1:846776..846827	Tb927_05_v5.1:848307..848662
Tb927.5.2470	Tb927_05_v5.1:848755..848766	Tb927_05_v5.1:850168..851743
Tb927.5.2500	Tb927_05_v5.1:860099..860649	Tb927_05_v5.1:862738..864263
Tb927.5.2510	Tb927_05_v5.1:865080..865401	Tb927_05_v5.1:869602..870126
Tb927.5.2520	Tb927_05_v5.1:870245..870437	Tb927_05_v5.1:873183..873357
Tb927.5.2530	Tb927_05_v5.1:874267..874560	Tb927_05_v5.1:877681..877991
Tb927.5.2540	Tb927_05_v5.1:878116..878308	Tb927_05_v5.1:879542..879939
Tb927.5.2550	Tb927_05_v5.1:880054..880103	Tb927_05_v5.1:881073..881489
Tb927.5.2570	Tb927_05_v5.1:882439..882647	Tb927_05_v5.1:884739..885471
Tb927.5.2580	Tb927_05_v5.1:885580..885705	Tb927_05_v5.1:886594..887148
Tb927.5.2610	Tb927_05_v5.1:892305..892426	Tb927_05_v5.1:893345..893699
Tb927.5.2620	Tb927_05_v5.1:894370..894722	Tb927_05_v5.1:896082..900882
Tb927.5.2630	Tb927_05_v5.1:901003..901104	Tb927_05_v5.1:901825..902169
Tb927.5.2650	Tb927_05_v5.1:903480..903655	Tb927_05_v5.1:905219..905584
Tb927.5.2660	Tb927_05_v5.1:905689..905755	Tb927_05_v5.1:908339..908543
Tb927.5.2680	Tb927_05_v5.1:909594..909610	Tb927_05_v5.1:911867..912276
Tb927.5.2710	Tb927_05_v5.1:915080..915252	Tb927_05_v5.1:918028..918402
Tb927.5.2720	Tb927_05_v5.1:918516..918535	Tb927_05_v5.1:919952..920161
Tb927.5.2730	Tb927_05_v5.1:920868..920920	Tb927_05_v5.1:921725..922451
Tb927.5.2740	Tb927_05_v5.1:922616..922617	Tb927_05_v5.1:924058..924872
Tb927.5.2750	Tb927_05_v5.1:925022..925062	Tb927_05_v5.1:926344..927577
Tb927.5.2760	Tb927_05_v5.1:927672..927705	Tb927_05_v5.1:928861..928975
Tb927.5.2770	Tb927_05_v5.1:934946..935182:r	Tb927_05_v5.1:933582..933721:r
Tb927.5.2780	Tb927_05_v5.1:937776..937903:r	Tb927_05_v5.1:935333..936551:r
Tb927.5.2790	Tb927_05_v5.1:941888..942152:r	Tb927_05_v5.1:938016..939445:r
Tb927.5.2800	Tb927_05_v5.1:945870..945875:r	Tb927_05_v5.1:942260..942614:r
Tb927.5.2820	Tb927_05_v5.1:951517..951689:r	Tb927_05_v5.1:947140..948423:r
Tb927.5.2840	Tb927_05_v5.1:953247..953360:r	Tb927_05_v5.1:952720..952829:r
Tb927.5.2850	Tb927_05_v5.1:955704..955716:r	Tb927_05_v5.1:953457..954146:r
Tb927.5.2870	Tb927_05_v5.1:961345..961357:r	Tb927_05_v5.1:958172..959901:r
Tb927.5.2880	Tb927_05_v5.1:962763..962811:r	Tb927_05_v5.1:961446..962195:r
Tb927.5.2900	Tb927_05_v5.1:972763..972787:r	Tb927_05_v5.1:970232..971001:r
Tb927.5.2910	Tb927_05_v5.1:980390..980441	Tb927_05_v5.1:980982..981066
Tb927.5.2920	Tb927_05_v5.1:981186..981215	Tb927_05_v5.1:982596..982665
Tb927.5.2940	Tb927_05_v5.1:984212..984245	Tb927_05_v5.1:985899..986293
Tb927.5.2960	Tb927_05_v5.1:989275..989471	Tb927_05_v5.1:990633..990991
Tb927.5.2970	Tb927_05_v5.1:991122..991351	Tb927_05_v5.1:993845..993914
Tb927.5.2990	Tb927_05_v5.1:998287..998316	Tb927_05_v5.1:999082..999645
Tb927.5.3000	Tb927_05_v5.1:999760..999829	Tb927_05_v5.1:1000877..1001020
Tb927.5.3010	Tb927_05_v5.1:1001119..1001144	Tb927_05_v5.1:1002696..1003430
Tb927.5.3040	Tb927_05_v5.1:1010382..1010559	Tb927_05_v5.1:1011157..1011827
Tb927.5.3060	Tb927_05_v5.1:1014606..1014620	Tb927_05_v5.1:1015626..1015725
Tb927.5.3070	Tb927_05_v5.1:1015819..1016171	Tb927_05_v5.1:1017789..1018314
Tb927.5.3080	Tb927_05_v5.1:1018435..1018492	Tb927_05_v5.1:1019498..1019695
Tb927.5.3100	Tb927_05_v5.1:1025189..1025364:r	Tb927_05_v5.1:1023054..1024423:r
Tb927.5.3110	Tb927_05_v5.1:1026453..1026662:r	Tb927_05_v5.1:1025475..1025795:r
Tb927.5.3120	Tb927_05_v5.1:1028375..1028494:r	Tb927_05_v5.1:1026783..1027432:r
Tb927.5.3130	Tb927_05_v5.1:1032603..1033275:r	Tb927_05_v5.1:1028668..1031501:r
Tb927.5.3140	Tb927_05_v5.1:1034196..1034316:r	Tb927_05_v5.1:1033400..1033544:r
Tb927.5.3160	Tb927_05_v5.1:1046140..1046397:r	Tb927_05_v5.1:1040785..1041864:r
Tb927.5.3170	Tb927_05_v5.1:1050006..1050207:r	Tb927_05_v5.1:1046516..1048043:r
Tb927.5.3180	Tb927_05_v5.1:1051584..1051611:r	Tb927_05_v5.1:1050304..1051043:r
Tb927.5.3190	Tb927_05_v5.1:1052543..1052697:r	Tb927_05_v5.1:1051736..1051915:r
Tb927.5.3200	Tb927_05_v5.1:1053842..1054156:r	Tb927_05_v5.1:1052816..1053061:r
Tb927.5.3210	Tb927_05_v5.1:1055890..1056120:r	Tb927_05_v5.1:1054746..1055544:r
Tb927.5.3220	Tb927_05_v5.1:1057571..1057777:r	Tb927_05_v5.1:1056202..1056943:r
Tb927.5.3230	Tb927_05_v5.1:1064842..1064868:r	Tb927_05_v5.1:1057851..1058295:r
Tb927.5.3240	Tb927_05_v5.1:1068034..1068562:r	Tb927_05_v5.1:1064960..1065639:r
Tb927.5.3260	Tb927_05_v5.1:1079789..1080296:r	Tb927_05_v5.1:1074390..1075588:r
Tb927.5.3280	Tb927_05_v5.1:1087512..1087829:r	Tb927_05_v5.1:1083665..1083944:r
Tb927.5.3290	Tb927_05_v5.1:1093983..1094274:r	Tb927_05_v5.1:1087971..1090412:r
Tb927.5.3300	Tb927_05_v5.1:1095999..1096095:r	Tb927_05_v5.1:1094391..1095350:r
Tb927.5.3330	Tb927_05_v5.1:1118486..1118742:r	Tb927_05_v5.1:1103717..1104406:r
Tb927.5.3340	Tb927_05_v5.1:1119639..1119807:r	Tb927_05_v5.1:1118821..1119350:r
Tb927.5.3360	Tb927_05_v5.1:1123686..1123713:r	Tb927_05_v5.1:1122112..1122449:r
Tb927.5.3370	Tb927_05_v5.1:1126024..1126164:r	Tb927_05_v5.1:1123844..1124322:r
Tb927.5.3380	Tb927_05_v5.1:1128780..1128779:r	Tb927_05_v5.1:1126276..1126955:r
Tb927.5.3400	Tb927_05_v5.1:1134335..1134466:r	Tb927_05_v5.1:1130060..1131298:r
Tb927.5.3420	Tb927_05_v5.1:1138019..1138140:r	Tb927_05_v5.1:1135761..1136431:r
Tb927.5.3440	Tb927_05_v5.1:1143192..1143330:r	Tb927_05_v5.1:1141351..1142045:r
Tb927.5.3470	Tb927_05_v5.1:1149129..1149163:r	Tb927_05_v5.1:1147584..1147859:r
Tb927.5.3480	Tb927_05_v5.1:1151430..1151432:r	Tb927_05_v5.1:1149254..1149758:r
Tb927.5.3510	Tb927_05_v5.1:1159514..1159530	Tb927_05_v5.1:1163131..1163294
Tb927.5.3530	Tb927_05_v5.1:1166404..1166403	Tb927_05_v5.1:1167199..1167565
Tb927.5.3540	Tb927_05_v5.1:1169050..1169121	Tb927_05_v5.1:1172146..1172405
Tb927.5.3550	Tb927_05_v5.1:1172517..1172665	Tb927_05_v5.1:1173941..1174030
Tb927.5.3560	Tb927_05_v5.1:1174162..1174256	Tb927_05_v5.1:1174908..1176225
Tb927.5.3570	Tb927_05_v5.1:1176359..1176644	Tb927_05_v5.1:1177467..1177939
Tb927.5.3590	Tb927_05_v5.1:1179831..1179838	Tb927_05_v5.1:1181666..1182295
Tb927.5.3630	Tb927_05_v5.1:1198442..1198545	Tb927_05_v5.1:1199782..1200761
Tb927.5.3640	Tb927_05_v5.1:1200887..1200955	Tb927_05_v5.1:1201769..1202173
Tb927.5.3650	Tb927_05_v5.1:1202306..1202327	Tb927_05_v5.1:1204743..1205202
Tb927.5.3680	Tb927_05_v5.1:1212224..1212408	Tb927_05_v5.1:1213180..1213602
Tb927.5.3690	Tb927_05_v5.1:1213760..1213772	Tb927_05_v5.1:1214451..1215342
Tb927.5.3700	Tb927_05_v5.1:1215459..1215459	Tb927_05_v5.1:1216348..1217280
Tb927.5.3710	Tb927_05_v5.1:1217440..1217577	Tb927_05_v5.1:1219321..1219720
Tb927.5.3720	Tb927_05_v5.1:1219908..1219941	Tb927_05_v5.1:1220581..1221170
Tb927.5.3730	Tb927_05_v5.1:1221411..1221530	Tb927_05_v5.1:1223265..1223389
Tb927.5.3740	Tb927_05_v5.1:1223486..1223518	Tb927_05_v5.1:1223999..1224103
Tb927.5.3745	Tb927_05_v5.1:1224221..1224462	Tb927_05_v5.1:1224784..1225179
Tb927.5.3750	Tb927_05_v5.1:1225338..1225348	Tb927_05_v5.1:1226912..1227011
Tb927.5.3760	Tb927_05_v5.1:1227127..1227165	Tb927_05_v5.1:1228651..1230145
Tb927.5.3770	Tb927_05_v5.1:1230262..1230389	Tb927_05_v5.1:1231536..1232411
Tb927.5.3780	Tb927_05_v5.1:1232540..1232586	Tb927_05_v5.1:1233841..1235257
Tb927.5.3790	Tb927_05_v5.1:1235387..1235738	Tb927_05_v5.1:1236531..1237779
Tb927.5.3800	Tb927_05_v5.1:1237906..1238876	Tb927_05_v5.1:1244379..1245528
Tb927.5.3810	Tb927_05_v5.1:1246135..1246275	Tb927_05_v5.1:1247653..1248412
Tb927.5.3820	Tb927_05_v5.1:1248546..1248765	Tb927_05_v5.1:1249750..1250234
Tb927.5.3840	Tb927_05_v5.1:1252467..1252500	Tb927_05_v5.1:1254229..1254583
Tb927.5.3850	Tb927_05_v5.1:1254667..1254807	Tb927_05_v5.1:1257484..1257753
Tb927.5.3880	Tb927_05_v5.1:1264456..1264473	Tb927_05_v5.1:1266697..1267061
Tb927.5.3895	Tb927_05_v5.1:1268651..1268735	Tb927_05_v5.1:1269027..1269290
Tb927.5.3910	Tb927_05_v5.1:1272161..1272192	Tb927_05_v5.1:1273312..1273621
Tb927.5.3920	Tb927_05_v5.1:1273735..1273845	Tb927_05_v5.1:1276795..1276999
Tb927.5.3990	Tb927_05_v5.1:1293381..1293425	Tb927_05_v5.1:1294860..1294954
Tb927.5.4010	Tb927_05_v5.1:1297181..1297207:r	Tb927_05_v5.1:1295989..1296265:r
Tb927.5.4090	Tb927_05_v5.1:1312259..1312491:r	Tb927_05_v5.1:1311153..1311532:r
Tb927.5.4120	Tb927_05_v5.1:1318742..1318839:r	Tb927_05_v5.1:1317926..1318165:r
Tb927.5.4130	Tb927_05_v5.1:1322354..1322407:r	Tb927_05_v5.1:1318959..1319158:r
Tb927.5.4140	Tb927_05_v5.1:1324151..1324235:r	Tb927_05_v5.1:1322503..1323052:r
Tb927.5.4170	Tb927_05_v5.1:1328387..1328420:r	Tb927_05_v5.1:1327884..1328083:r
Tb927.5.4190	Tb927_05_v5.1:1329859..1329892:r	Tb927_05_v5.1:1329278..1329555:r
Tb927.5.4200	Tb927_05_v5.1:1330595..1330628:r	Tb927_05_v5.1:1330014..1330291:r
Tb927.5.4210	Tb927_05_v5.1:1331331..1331364:r	Tb927_05_v5.1:1330743..1331027:r
Tb927.5.4220	Tb927_05_v5.1:1332067..1332100:r	Tb927_05_v5.1:1331481..1331763:r
Tb927.5.4230	Tb927_05_v5.1:1332803..1332836:r	Tb927_05_v5.1:1332212..1332499:r
Tb927.5.4240	Tb927_05_v5.1:1333539..1333572:r	Tb927_05_v5.1:1332949..1333235:r
Tb927.5.4250	Tb927_05_v5.1:1334275..1334308:r	Tb927_05_v5.1:1333699..1333971:r
Tb927.5.4260	Tb927_05_v5.1:1335011..1335044:r	Tb927_05_v5.1:1334426..1334707:r
Tb927.5.4270	Tb927_05_v5.1:1337675..1337766:r	Tb927_05_v5.1:1335143..1335187:r
Tb927.5.4330	Tb927_05_v5.1:1350736..1350755:r	Tb927_05_v5.1:1348972..1349415:r
Tb927.5.4320	Tb927_05_v5.1:1348782..1348832:r	Tb927_05_v5.1:1347525..1347938:r
Tb927.5.4350	Tb927_05_v5.1:1354963..1354985:r	Tb927_05_v5.1:1353267..1354449:r
Tb927.5.4360	Tb927_05_v5.1:1356335..1356350:r	Tb927_05_v5.1:1355121..1355365:r
Tb927.5.4380	Tb927_05_v5.1:1362269..1362572:r	Tb927_05_v5.1:1357458..1360357:r
Tb927.5.4390	Tb927_05_v5.1:1363836..1363884:r	Tb927_05_v5.1:1362713..1363427:r
Tb927.5.4400	Tb927_05_v5.1:1365590..1365700:r	Tb927_05_v5.1:1363991..1364290:r
Tb927.5.4430	Tb927_05_v5.1:1370996..1371059:r	Tb927_05_v5.1:1369315..1369939:r
Tb927.5.4460	Tb927_05_v5.1:1376323..1376429:r	Tb927_05_v5.1:1373204..1373805:r
Tb927.5.4470	Tb927_05_v5.1:1380209..1380238:r	Tb927_05_v5.1:1377154..1377670:r
Tb927.5.4490	Tb927_05_v5.1:1383160..1383162:r	Tb927_05_v5.1:1382577..1382736:r
Tb927.5.4500	Tb927_05_v5.1:1384024..1384067:r	Tb927_05_v5.1:1383294..1383438:r
Tb927.5.4535	Tb927_05_v5.1:1389303..1389394:r	Tb927_05_v5.1:1388874..1389219:r
Tb927.5.4540	Tb927_05_v5.1:1398219..1398296	Tb927_05_v5.1:1402029..1402589
Tb927.5.4550	Tb927_05_v5.1:1404771..1404831	Tb927_05_v5.1:1408564..1409118
Tb927.5.4570	Tb927_05_v5.1:1413368..1413666	Tb927_05_v5.1:1416124..1416753
Tb927.5.4575	Tb927_05_v5.1:1417255..1417281	Tb927_05_v5.1:1417591..1417990
Tb927.5.4580	Tb927_05_v5.1:1420437..1420733	Tb927_05_v5.1:1423191..1423755
Tb927.5.4600	Tb927_05_v5.1:1425297..1425341	Tb927_05_v5.1:1426530..1427169
Tb927.5.340	Tb927_05_v5.1:154642..154747	Tb927_05_v5.1:156212..156815
Tb927.5.660	Tb927_05_v5.1:287122..287163	Tb927_05_v5.1:288370..288980
Tb927.5.680	Tb927_05_v5.1:298127..298167	Tb927_05_v5.1:299926..300089
Tb927.5.1500	Tb927_05_v5.1:533943..533947:r	Tb927_05_v5.1:531979..532394:r
Tb927.5.1990	Tb927_05_v5.1:673019..673105	Tb927_05_v5.1:673901..677482
Tb927.5.2890	Tb927_05_v5.1:970075..970114:r	Tb927_05_v5.1:963333..963582:r
Tb927.5.3250	Tb927_05_v5.1:1074290..1074290:r	Tb927_05_v5.1:1068664..1069603:r
Tb927.5.3600	Tb927_05_v5.1:1182388..1182671	Tb927_05_v5.1:1185135..1185488
Tb927.5.4160	Tb927_05_v5.1:1327846..1327845:r	Tb927_05_v5.1:1326587..1326696:r
Tb927.4.4740	Tb927_04_v5.1:1304918..1304990:r	Tb927_04_v5.1:1302585..1303714:r
Tb927.4.4750	Tb927_04_v5.1:1306618..1306702:r	Tb927_04_v5.1:1305126..1305345:r
Tb927.4.4770	Tb927_04_v5.1:1311563..1311615:r	Tb927_04_v5.1:1310180..1310578:r
Tb927.4.4690	Tb927_04_v5.1:1293166..1293256:r	Tb927_04_v5.1:1291968..1292328:r
Tb927.4.4820	Tb927_04_v5.1:1320643..1320682:r	Tb927_04_v5.1:1317671..1319220:r
Tb927.4.3850	Tb927_04_v5.1:1006095..1006151:r	Tb927_04_v5.1:1004593..1004732:r
Tb927.4.3820	Tb927_04_v5.1:1000984..1001000:r	Tb927_04_v5.1:998563..999702:r
Tb927.4.3810	Tb927_04_v5.1:998329..998441:r	Tb927_04_v5.1:994613..994755:r
Tb927.4.3800	Tb927_04_v5.1:994430..994440:r	Tb927_04_v5.1:992286..993460:r
Tb927.4.3780	Tb927_04_v5.1:989420..989440:r	Tb927_04_v5.1:988163..989011:r
Tb927.4.3940	Tb927_04_v5.1:1043124..1043420:r	Tb927_04_v5.1:1039987..1040744:r
Tb927.4.3950	Tb927_04_v5.1:1048526..1048636:r	Tb927_04_v5.1:1044349..1045963:r
Tb927.4.3960	Tb927_04_v5.1:1050099..1050254:r	Tb927_04_v5.1:1048968..1049444:r
Tb927.4.3970	Tb927_04_v5.1:1055938..1056002:r	Tb927_04_v5.1:1051199..1054473:r
