,Chromosome,Peak_Start,Peak_End,Peak_Name,UTR_Start,UTR_End,UTR_Gene_ID,UTR_Strand,UTR_Peak_overlap,Control_total,Control_F,Control_R,Treatment_total,Treatment_F,Treatment_R,Treatment_fraction_F,Treatment_fraction_R,Treatment_total_corrected_F,Treatment_total_corrected_R,download_seq,is_fully_contained
375,Tb927_04_v5.1,443992,444726,NA_peak_647,444518,445152,Tb927.4.1760,-,208,2814,6,368,9007,1,859,0.0011627906976744186,0.9988372093023256,10.473255813953488,8996.526744186047,Tb927_04_v5.1:444518..444726:r,False
376,Tb927_04_v5.1,452661,453608,NA_peak_649,453065,453192,Tb927.4.1820,-,127,263,12,7,736,6,30,0.16666666666666666,0.8333333333333334,122.66666666666666,613.3333333333334,Tb927_04_v5.1:453065..453192:r,False
377,Tb927_04_v5.1,455782,457394,NA_peak_650,456621,459436,Tb927.4.1840,-,773,819,89,17,9122,93,360,0.2052980132450331,0.794701986754967,1872.728476821192,7249.271523178809,Tb927_04_v5.1:456621..457394:r,False
378,Tb927_04_v5.1,462535,463090,NA_peak_651,462133,462614,Tb927.4.1850,-,79,287,4,12,760,1,35,0.027777777777777776,0.9722222222222222,21.11111111111111,738.8888888888889,Tb927_04_v5.1:462535..462614:r,False
379,Tb927_04_v5.1,463831,465481,NA_peak_652,464704,465051,Tb927.4.1860,-,347,836,13,69,4306,49,192,0.2033195020746888,0.7966804979253113,875.49377593361,3430.50622406639,Tb927_04_v5.1:464704..465051:r,False
380,Tb927_04_v5.1,478688,479411,NA_peak_654,479167,485771,Tb927.4.1910,-,244,78,0,0,695,1,12,0.07692307692307693,0.9230769230769231,53.46153846153847,641.5384615384615,Tb927_04_v5.1:479167..479411:r,False
381,Tb927_04_v5.1,479530,479930,NA_peak_655,479167,485771,Tb927.4.1910,-,400,39,2,0,245,0,6,0.0,1.0,0.0,245.0,Tb927_04_v5.1:479530..479930:r,True
382,Tb927_04_v5.1,484029,486236,NA_peak_656,479167,485771,Tb927.4.1910,-,1742,589,7,9,8683,299,63,0.8259668508287292,0.17403314917127077,7171.870165745856,1511.129834254144,Tb927_04_v5.1:484029..485771:r,False
383,Tb927_04_v5.1,486269,487507,NA_peak_657,486895,487280,Tb927.4.1920,-,385,2019,141,24,24430,2066,104,0.9520737327188941,0.04792626728110594,23259.161290322583,1170.8387096774181,Tb927_04_v5.1:486895..487280:r,False
384,Tb927_04_v5.1,511713,512355,NA_peak_659,512184,512688,Tb927.4.2040,-,171,73,3,2,1503,7,82,0.07865168539325842,0.9213483146067416,118.21348314606742,1384.7865168539327,Tb927_04_v5.1:512184..512355:r,False
385,Tb927_04_v5.1,516721,517741,NA_peak_660,517009,517254,Tb927.4.2070,-,245,10133,344,359,42950,430,2779,0.13399813025864754,0.8660018697413525,5755.219694608912,37194.78030539109,Tb927_04_v5.1:517009..517254:r,False
386,Tb927_04_v5.1,549179,550637,NA_peak_663,547824,550130,Tb927.4.2110,+,951,900,126,26,5005,159,9,0.9464285714285714,0.0535714285714286,4736.875,268.12500000000017,Tb927_04_v5.1:549179..550130:f,False
387,Tb927_04_v5.1,559258,559722,NA_peak_664,559447,560459,Tb927.4.2170,+,275,81,5,0,341,5,4,0.5555555555555556,0.4444444444444444,189.44444444444446,151.55555555555554,Tb927_04_v5.1:559447..559722:f,False
388,Tb927_04_v5.1,559948,560618,NA_peak_665,559447,560459,Tb927.4.2170,+,511,428,12,8,1738,80,5,0.9411764705882353,0.05882352941176472,1635.764705882353,102.23529411764709,Tb927_04_v5.1:559948..560459:f,False
389,Tb927_04_v5.1,586096,587802,NA_peak_666,585800,586383,Tb927.4.2260,+,287,75,0,3,553,24,14,0.631578947368421,0.368421052631579,349.2631578947368,203.73684210526318,Tb927_04_v5.1:586096..586383:f,False
390,Tb927_04_v5.1,596741,597653,NA_peak_667,596949,597594,Tb927.4.2290,+,645,460,6,44,10788,18,788,0.022332506203473945,0.9776674937965261,240.9230769230769,10547.076923076924,Tb927_04_v5.1:596949..597594:f,False
391,Tb927_04_v5.1,603730,605053,NA_peak_669,603246,604163,Tb927.4.2310,+,433,814,21,41,8463,417,41,0.9104803493449781,0.08951965065502188,7705.39519650655,757.6048034934502,Tb927_04_v5.1:603730..604163:f,False
393,Tb927_04_v5.1,606409,606711,NA_peak_670,606345,606687,Tb927.4.2330,+,278,1212,46,113,2875,121,43,0.7378048780487805,0.2621951219512195,2121.189024390244,753.8109756097562,Tb927_04_v5.1:606409..606687:f,False
394,Tb927_04_v5.1,619019,619368,NA_peak_671,618796,619081,Tb927.4.2390,+,62,2848,180,25,5828,294,8,0.9735099337748344,0.026490066225165587,5673.615894039735,154.38410596026503,Tb927_04_v5.1:619019..619081:f,False
395,Tb927_04_v5.1,629185,629607,NA_peak_674,628052,630477,Tb927.4.2410,+,422,770,14,9,6204,1302,11,0.9916222391469917,0.008377760853008343,6152.024371667936,51.975628332063756,Tb927_04_v5.1:629185..629607:f,True
396,Tb927_04_v5.1,636613,639076,NA_peak_675,638082,638824,Tb927.4.2450,+,742,9259,316,221,69282,893,1578,0.3613921489275597,0.6386078510724402,25037.970861999194,44244.029138000806,Tb927_04_v5.1:638082..638824:f,False
397,Tb927_04_v5.1,667292,669442,NA_peak_678,667376,667576,Tb927.4.2520,+,200,1768,47,41,14019,291,354,0.4511627906976744,0.5488372093023256,6324.851162790697,7694.148837209303,Tb927_04_v5.1:667376..667576:f,False
399,Tb927_04_v5.1,669508,670390,NA_peak_679,668335,669794,Tb927.4.2530,+,286,545,59,9,21438,1395,64,0.9561343385880741,0.04386566141192594,20497.60795065113,940.3920493488682,Tb927_04_v5.1:669508..669794:f,False
400,Tb927_04_v5.1,685611,686877,NA_peak_680,683265,686249,Tb927.4.2590,+,638,157,1,7,707,19,2,0.9047619047619048,0.09523809523809523,639.6666666666666,67.33333333333333,Tb927_04_v5.1:685611..686249:f,False
401,Tb927_04_v5.1,705716,706408,NA_peak_681,704263,706342,Tb927.4.2650,+,626,217,21,6,1659,92,48,0.6571428571428571,0.34285714285714286,1090.2,568.8,Tb927_04_v5.1:705716..706342:f,False
402,Tb927_04_v5.1,710830,713568,NA_peak_682,710924,712067,Tb927.4.2680,+,1143,1740,45,36,9116,287,51,0.849112426035503,0.15088757396449703,7740.508875739645,1375.491124260355,Tb927_04_v5.1:710924..712067:f,False
403,Tb927_04_v5.1,713595,714856,NA_peak_683,714135,714870,Tb927.4.2700,+,721,2470,153,30,14981,860,95,0.900523560209424,0.09947643979057597,13490.74345549738,1490.2565445026185,Tb927_04_v5.1:714135..714856:f,False
404,Tb927_04_v5.1,723465,726137,NA_peak_685,723507,725492,Tb927.4.2740,+,1985,341,6,4,2998,85,18,0.8252427184466019,0.1747572815533981,2474.0776699029125,523.9223300970875,Tb927_04_v5.1:723507..725492:f,False
405,Tb927_04_v5.1,727365,727700,NA_peak_686,727321,730496,Tb927.4.2750,+,335,85,1,6,203,10,0,1.0,0.0,203.0,0.0,Tb927_04_v5.1:727365..727700:f,True
406,Tb927_04_v5.1,733934,734800,NA_peak_688,733478,734023,Tb927.4.2760,+,89,898,58,64,7116,582,74,0.8871951219512195,0.11280487804878048,6313.280487804878,802.7195121951219,Tb927_04_v5.1:733934..734023:f,False
407,Tb927_04_v5.1,735431,735750,NA_peak_689,735340,735715,Tb927.4.2770,+,284,578,1,4,1199,0,10,0.0,1.0,0.0,1199.0,Tb927_04_v5.1:735431..735715:f,False
408,Tb927_04_v5.1,742962,743707,NA_peak_690,742478,744883,Tb927.4.2800,+,745,2871,51,245,9982,7,887,0.007829977628635347,0.9921700223713646,78.15883668903804,9903.841163310963,Tb927_04_v5.1:742962..743707:f,True
409,Tb927_04_v5.1,744595,745149,NA_peak_691,742478,744883,Tb927.4.2800,+,288,2646,58,62,4998,199,0,1.0,0.0,4998.0,0.0,Tb927_04_v5.1:744595..744883:f,False
410,Tb927_04_v5.1,750994,752065,NA_peak_693,751240,751516,Tb927.4.2840,+,276,1135,66,49,19083,1144,73,0.9400164338537387,0.059983566146261325,17938.333607230896,1144.666392769105,Tb927_04_v5.1:751240..751516:f,False
411,Tb927_04_v5.1,764459,765486,NA_peak_694,764505,764930,Tb927.4.2880,+,425,4044,286,5,47336,2495,26,0.9896866322887743,0.010313367711225707,46847.80642602142,488.19357397858005,Tb927_04_v5.1:764505..764930:f,False
412,Tb927_04_v5.1,773657,775336,NA_peak_695,773407,774594,Tb927.4.2910,+,937,1184,34,40,3718,157,26,0.8579234972677595,0.14207650273224048,3189.7595628415297,528.2404371584702,Tb927_04_v5.1:773657..774594:f,False
413,Tb927_04_v5.1,789333,789666,NA_peak_696,789029,789918,Tb927.4.2970,+,333,371,34,5,806,9,27,0.25,0.75,201.5,604.5,Tb927_04_v5.1:789333..789666:f,True
414,Tb927_04_v5.1,798088,798953,NA_peak_698,798155,798372,Tb927.4.3010,+,217,735,70,2,1926,152,2,0.987012987012987,0.012987012987012991,1900.987012987013,25.012987012987022,Tb927_04_v5.1:798155..798372:f,False
415,Tb927_04_v5.1,802673,803711,NA_peak_700,802880,803146,Tb927.4.3020,+,266,844,48,14,3774,258,2,0.9923076923076923,0.007692307692307665,3744.9692307692308,29.030769230769128,Tb927_04_v5.1:802880..803146:f,False
416,Tb927_04_v5.1,811096,812549,NA_peak_701,810523,812027,Tb927.4.3060,+,931,1258,14,70,8342,311,27,0.9201183431952663,0.07988165680473369,7675.627218934912,666.3727810650885,Tb927_04_v5.1:811096..812027:f,False
417,Tb927_04_v5.1,837807,839794,NA_peak_702,837849,839270,Tb927.4.3170,+,1421,2699,47,66,10828,81,307,0.20876288659793815,0.7912371134020618,2260.4845360824743,8567.515463917525,Tb927_04_v5.1:837849..839270:f,False
418,Tb927_04_v5.1,867961,869597,NA_peak_705,868360,869335,Tb927.4.3320,-,975,2929,89,86,15884,36,801,0.043010752688172046,0.956989247311828,683.1827956989248,15200.817204301076,Tb927_04_v5.1:868360..869335:r,False
419,Tb927_04_v5.1,870738,871099,NA_peak_706,870314,870947,Tb927.4.3330,-,209,1020,5,69,1989,7,126,0.05263157894736842,0.9473684210526316,104.68421052631578,1884.3157894736844,Tb927_04_v5.1:870738..870947:r,False
420,Tb927_04_v5.1,891137,892417,NA_peak_708,891911,892336,Tb927.4.3420,-,425,1852,13,115,21024,42,1015,0.039735099337748346,0.9602649006622517,835.3907284768212,20188.60927152318,Tb927_04_v5.1:891911..892336:r,False
421,Tb927_04_v5.1,897417,897923,NA_peak_709,897378,897937,Tb927.4.3450,-,506,885,13,34,2648,14,84,0.14285714285714285,0.8571428571428572,378.2857142857143,2269.714285714286,Tb927_04_v5.1:897417..897923:r,True
422,Tb927_04_v5.1,916856,917938,NA_peak_711,917049,917161,Tb927.4.3590,-,112,572,50,1,1869,0,58,0.0,1.0,0.0,1869.0,Tb927_04_v5.1:917049..917161:r,False
423,Tb927_04_v5.1,920196,921032,NA_peak_712,919807,921727,Tb927.4.3620,-,836,1051,10,48,3113,2,226,0.008771929824561403,0.9912280701754386,27.307017543859647,3085.6929824561403,Tb927_04_v5.1:920196..921032:r,True
424,Tb927_04_v5.1,922990,923951,NA_peak_713,922847,923648,Tb927.4.3630,-,658,2979,54,202,10427,21,716,0.028493894165535955,0.9715061058344641,297.1058344640434,10129.894165535958,Tb927_04_v5.1:922990..923648:r,False
425,Tb927_04_v5.1,924911,925752,NA_peak_714,924864,925569,Tb927.4.3640,-,658,2133,20,150,6539,5,234,0.02092050209205021,0.9790794979079498,136.79916317991632,6402.200836820084,Tb927_04_v5.1:924911..925569:r,False
426,Tb927_04_v5.1,976985,977909,NA_peak_719,977091,977729,Tb927.4.3750,+,638,1409,3,61,5918,2,338,0.0058823529411764705,0.9941176470588236,34.811764705882354,5883.1882352941175,Tb927_04_v5.1:977091..977729:f,False
427,Tb927_04_v5.1,987790,988748,NA_peak_721,988163,989011,Tb927.4.3780,-,585,66,5,13,1955,19,103,0.1557377049180328,0.8442622950819672,304.4672131147541,1650.5327868852457,Tb927_04_v5.1:988163..988748:r,False
428,Tb927_04_v5.1,1044635,1045248,NA_peak_724,1044349,1045963,Tb927.4.3950,-,613,2559,243,72,16765,1861,21,0.9888416578108395,0.011158342189160453,16577.930393198723,187.069606801275,Tb927_04_v5.1:1044635..1045248:r,True
429,Tb927_04_v5.1,1050936,1052971,NA_peak_725,1051199,1054473,Tb927.4.3970,-,1772,2009,13,36,8170,9,228,0.0379746835443038,0.9620253164556962,310.253164556962,7859.746835443038,Tb927_04_v5.1:1051199..1052971:r,False
430,Tb927_04_v5.1,1053278,1054996,NA_peak_726,1051199,1054473,Tb927.4.3970,-,1195,712,23,12,14068,650,42,0.9393063583815029,0.06069364161849711,13214.161849710983,853.8381502890173,Tb927_04_v5.1:1053278..1054473:r,False
431,Tb927_04_v5.1,1057719,1059152,NA_peak_727,1058819,1059788,Tb927.4.3990,-,333,861,8,52,2596,73,20,0.7849462365591398,0.21505376344086025,2037.720430107527,558.2795698924732,Tb927_04_v5.1:1058819..1059152:r,False
432,Tb927_04_v5.1,1060544,1062055,NA_peak_728,1061860,1063097,Tb927.4.4000,-,195,3728,50,92,8518,35,242,0.1263537906137184,0.8736462093862816,1076.2815884476533,7441.718411552346,Tb927_04_v5.1:1061860..1062055:r,False
433,Tb927_04_v5.1,1063872,1065356,NA_peak_729,1065125,1066411,Tb927.4.4010,-,231,3907,63,80,8474,44,217,0.1685823754789272,0.8314176245210728,1428.5670498084291,7045.432950191571,Tb927_04_v5.1:1065125..1065356:r,False
434,Tb927_04_v5.1,1067612,1069822,NA_peak_731,1068483,1069243,Tb927.4.4020,-,760,5759,183,256,41295,1914,599,0.7616394747313967,0.2383605252686033,31451.902109033028,9843.097890966974,Tb927_04_v5.1:1068483..1069243:r,False
435,Tb927_04_v5.1,1071607,1073637,NA_peak_732,1072897,1073889,Tb927.4.4040,-,740,184,2,5,1979,27,67,0.2872340425531915,0.7127659574468085,568.436170212766,1410.563829787234,Tb927_04_v5.1:1072897..1073637:r,False
436,Tb927_04_v5.1,1082054,1082356,NA_peak_733,1081390,1082063,Tb927.4.4070,-,9,121,3,6,336,9,2,0.8181818181818182,0.18181818181818177,274.90909090909093,61.09090909090907,Tb927_04_v5.1:1082054..1082063:r,False
437,Tb927_04_v5.1,1087275,1088450,NA_peak_734,1088307,1088378,Tb927.4.4110,-,71,1517,82,12,29009,1346,12,0.9911634756995582,0.008836524300441795,28752.661266568484,256.338733431516,Tb927_04_v5.1:1088307..1088378:r,False
438,Tb927_04_v5.1,1104812,1105240,NA_peak_735,1105230,1105994,Tb927.4.4180,-,10,1508,47,88,3145,148,2,0.9866666666666667,0.013333333333333308,3103.0666666666666,41.93333333333325,Tb927_04_v5.1:1105230..1105240:r,False
439,Tb927_04_v5.1,1109751,1110063,NA_peak_737,1108710,1109839,Tb927.4.4190,-,88,2323,46,85,4293,2,198,0.01,0.99,42.93,4250.07,Tb927_04_v5.1:1109751..1109839:r,False
440,Tb927_04_v5.1,1119257,1119692,NA_peak_739,1119525,1121805,Tb927.4.4230,-,167,366,15,18,1003,3,84,0.034482758620689655,0.9655172413793104,34.58620689655172,968.4137931034484,Tb927_04_v5.1:1119525..1119692:r,False
441,Tb927_04_v5.1,1138758,1140865,NA_peak_740,1139740,1140137,Tb927.4.4310,-,397,55,3,2,19476,0,0,,,,,Tb927_04_v5.1:1139740..1140137:r,False
442,Tb927_04_v5.1,1153235,1155500,NA_peak_741,1154053,1155026,Tb927.4.4380,-,973,284,14,7,4419,25,175,0.125,0.875,552.375,3866.625,Tb927_04_v5.1:1154053..1155026:r,False
443,Tb927_04_v5.1,1167302,1167773,NA_peak_742,1167569,1168173,Tb927.4.4410,-,204,1238,3,86,5661,1,206,0.004830917874396135,0.9951690821256038,27.34782608695652,5633.652173913043,Tb927_04_v5.1:1167569..1167773:r,False
444,Tb927_04_v5.1,1176584,1177669,NA_peak_744,1177275,1177871,Tb927.4.4430,-,394,1179,20,72,15031,7,1703,0.004093567251461989,0.995906432748538,61.53040935672515,14969.469590643273,Tb927_04_v5.1:1177275..1177669:r,False
445,Tb927_04_v5.1,1181435,1182516,NA_peak_745,1182113,1182722,Tb927.4.4440,-,403,2162,50,98,27011,9,2218,0.004041311180960934,0.995958688819039,109.1598563089358,26901.840143691064,Tb927_04_v5.1:1182113..1182516:r,False
446,Tb927_04_v5.1,1186298,1187380,NA_peak_746,1186986,1187585,Tb927.4.4450,-,394,1321,20,67,11799,4,992,0.004016064257028112,0.9959839357429718,47.3855421686747,11751.614457831325,Tb927_04_v5.1:1186986..1187380:r,False
447,Tb927_04_v5.1,1191149,1191672,NA_peak_747,1191451,1191875,Tb927.4.4460,-,221,744,10,21,2556,8,217,0.035555555555555556,0.9644444444444444,90.88,2465.12,Tb927_04_v5.1:1191451..1191672:r,False
448,Tb927_04_v5.1,1195576,1196065,NA_peak_748,1195876,1196300,Tb927.4.4470,-,189,732,11,22,2940,8,257,0.03018867924528302,0.969811320754717,88.75471698113208,2851.245283018868,Tb927_04_v5.1:1195876..1196065:r,False
449,Tb927_04_v5.1,1199999,1201292,NA_peak_749,1200168,1203923,Tb927.4.4480,-,1124,916,18,70,7731,3,426,0.006993006993006993,0.993006993006993,54.06293706293706,7676.937062937063,Tb927_04_v5.1:1200168..1201292:r,False
450,Tb927_04_v5.1,1201665,1203538,NA_peak_750,1200168,1203923,Tb927.4.4480,-,1873,1968,34,65,7246,119,236,0.3352112676056338,0.6647887323943662,2428.9408450704227,4817.059154929578,Tb927_04_v5.1:1201665..1203538:r,True
451,Tb927_04_v5.1,1232728,1234068,NA_peak_751,1230025,1238954,Tb927.4.4520,-,1340,48,2,4,989,21,56,0.2727272727272727,0.7272727272727273,269.7272727272727,719.2727272727273,Tb927_04_v5.1:1232728..1234068:r,True
452,Tb927_04_v5.1,1238095,1239409,NA_peak_752,1230025,1238954,Tb927.4.4520,-,859,1368,1,101,9258,4,576,0.006896551724137931,0.993103448275862,63.84827586206897,9194.151724137932,Tb927_04_v5.1:1238095..1238954:r,False
453,Tb927_04_v5.1,1258659,1259472,NA_peak_753,1258606,1259264,Tb927.4.4570,-,605,249,6,6,811,4,48,0.07692307692307693,0.9230769230769231,62.38461538461539,748.6153846153846,Tb927_04_v5.1:1258659..1259264:r,False
454,Tb927_04_v5.1,1261504,1263601,NA_peak_754,1263191,1264340,Tb927.4.4580,-,410,290,13,6,1314,7,33,0.175,0.825,229.95,1084.05,Tb927_04_v5.1:1263191..1263601:r,False
455,Tb927_04_v5.1,1267820,1271647,NA_peak_756,1270468,1272177,Tb927.4.4590,-,1179,2582,33,143,34530,886,655,0.5749513303049968,0.4250486696950032,19853.06943543154,14676.930564568462,Tb927_04_v5.1:1270468..1271647:r,False
457,Tb927_04_v5.1,1292184,1293883,NA_peak_760,1293405,1293877,Tb927.4.4700,-,472,3899,151,101,18439,199,767,0.20600414078674947,0.7939958592132506,3798.5103519668737,14640.489648033126,Tb927_04_v5.1:1293405..1293877:r,False
458,Tb927_04_v5.1,1299943,1301690,NA_peak_761,1300113,1300968,Tb927.4.4730,-,855,1652,33,30,8974,328,22,0.9371428571428572,0.06285714285714283,8409.92,564.0799999999998,Tb927_04_v5.1:1300113..1300968:r,False
459,Tb927_04_v5.1,1313179,1313511,NA_peak_763,1311694,1313453,Tb927.4.4790,-,274,804,36,28,1498,13,88,0.12871287128712872,0.8712871287128713,192.8118811881188,1305.1881188118812,Tb927_04_v5.1:1313179..1313453:r,False
460,Tb927_04_v5.1,1313854,1314626,NA_peak_764,1314540,1315302,Tb927.4.4810,-,86,704,37,72,3000,171,71,0.7066115702479339,0.29338842975206614,2119.8347107438017,880.1652892561984,Tb927_04_v5.1:1314540..1314626:r,False
461,Tb927_04_v5.1,1322318,1323241,NA_peak_765,1322880,1323209,Tb927.4.4840,-,329,580,16,27,2109,25,78,0.24271844660194175,0.7572815533980582,511.8932038834952,1597.106796116505,Tb927_04_v5.1:1322880..1323209:r,False
462,Tb927_04_v5.1,1326306,1328267,NA_peak_766,1326906,1327197,Tb927.4.4860,-,291,1299,13,47,5917,27,177,0.1323529411764706,0.8676470588235294,783.1323529411765,5133.867647058823,Tb927_04_v5.1:1326906..1327197:r,False
463,Tb927_04_v5.1,1340761,1343270,NA_peak_767,1339429,1341283,Tb927.4.4900,-,522,5727,92,119,30655,233,761,0.23440643863179075,0.7655935613682092,7185.7293762575455,23469.270623742454,Tb927_04_v5.1:1340761..1341283:r,False
464,Tb927_04_v5.1,1363430,1364686,NA_peak_768,1363224,1364480,Tb927.4.4970,-,1050,1407,81,23,6898,302,34,0.8988095238095238,0.10119047619047616,6199.988095238095,698.0119047619046,Tb927_04_v5.1:1363430..1364480:r,False
465,Tb927_04_v5.1,1378626,1379649,NA_peak_770,1379418,1380127,Tb927.4.5030,-,231,134,0,18,1599,2,111,0.017699115044247787,0.9823008849557522,28.300884955752213,1570.6991150442477,Tb927_04_v5.1:1379418..1379649:r,False
466,Tb927_04_v5.1,1389135,1389778,NA_peak_771,1388820,1389309,Tb927.4.5070,-,174,30,2,1,104,3,1,0.75,0.25,78.0,26.0,Tb927_04_v5.1:1389135..1389309:r,False
467,Tb927_04_v5.1,1395336,1396229,NA_peak_772,1394057,1395759,Tb927.4.5090,-,423,4270,47,9,17813,676,66,0.9110512129380054,0.0889487870619946,16228.55525606469,1584.4447439353098,Tb927_04_v5.1:1395336..1395759:r,False
468,Tb927_04_v5.1,1398020,1398955,NA_peak_773,1398435,1398839,Tb927.4.5110,-,404,6620,331,401,83726,75,4751,0.01554082055532532,0.9844591794446746,1301.1707418151677,82424.82925818484,Tb927_04_v5.1:1398435..1398839:r,False
469,Tb927_04_v5.1,1422462,1423180,NA_peak_774,1422721,1422970,Tb927.4.5230,-,249,2328,77,21,11068,257,61,0.8081761006289309,0.19182389937106914,8944.893081761007,2123.1069182389933,Tb927_04_v5.1:1422721..1422970:r,False
470,Tb927_04_v5.1,1440387,1441393,NA_peak_777,1438178,1441876,Tb927.4.5310,-,1006,1318,140,6,8040,26,481,0.05128205128205128,0.9487179487179487,412.3076923076923,7627.692307692308,Tb927_04_v5.1:1440387..1441393:r,True
471,Tb927_04_v5.1,1460200,1460804,NA_peak_779,1460535,1460754,Tb927.4.5380,-,219,68,0,3,333,0,14,0.0,1.0,0.0,333.0,Tb927_04_v5.1:1460535..1460754:r,False
472,Tb927_04_v5.1,1492336,1493563,NA_peak_780,1492577,1492812,Tb927.4.5460,-,235,74,3,0,1621,4,30,0.11764705882352941,0.8823529411764706,190.70588235294116,1430.2941176470588,Tb927_04_v5.1:1492577..1492812:r,False
473,Tb927_05_v5.1,11516,11894,NA_peak_807,11199,12219,Tb927.5.120,-,378,3,0,0,23,0,1,0.0,1.0,0.0,23.0,Tb927_05_v5.1:11516..11894:r,True
474,Tb927_05_v5.1,74081,76126,NA_peak_821,74530,76125,Tb927.5.310,-,1595,1986,80,130,33895,22,2003,0.010864197530864197,0.9891358024691358,368.24197530864194,33526.75802469136,Tb927_05_v5.1:74530..76125:r,False
475,Tb927_05_v5.1,85782,87376,NA_peak_823,86539,87258,Tb927.5.286b,-,719,1023,33,37,9129,2,55,0.03508771929824561,0.9649122807017544,320.3157894736842,8808.684210526315,Tb927_05_v5.1:86539..87258:r,False
476,Tb927_05_v5.1,131163,132562,NA_peak_826,131573,133269,Tb927.5.309b,-,989,2211,60,89,50842,44,1904,0.022587268993839837,0.9774127310061602,1148.381930184805,49693.618069815195,Tb927_05_v5.1:131573..132562:r,False
477,Tb927_05_v5.1,159210,160498,NA_peak_828,156672,161569,Tb927.5.350,-,1288,1465,28,48,6295,19,126,0.1310344827586207,0.8689655172413793,824.8620689655173,5470.137931034483,Tb927_05_v5.1:159210..160498:r,True
478,Tb927_05_v5.1,211191,213050,NA_peak_832,211891,212918,Tb927.5.500,-,1027,1625,43,63,18516,310,1312,0.19112207151664612,0.8088779284833538,3538.8162762022193,14977.18372379778,Tb927_05_v5.1:211891..212918:r,False
479,Tb927_05_v5.1,216127,218208,NA_peak_833,217645,219184,Tb927.5.510,-,563,1647,81,64,6928,47,248,0.15932203389830507,0.840677966101695,1103.7830508474576,5824.216949152543,Tb927_05_v5.1:217645..218208:r,False
480,Tb927_05_v5.1,226156,227087,NA_peak_834,226656,228315,Tb927.5.550,-,431,5322,82,204,11535,21,662,0.03074670571010249,0.9692532942898975,354.66325036603223,11180.336749633967,Tb927_05_v5.1:226656..227087:r,False
481,Tb927_05_v5.1,232501,232843,NA_peak_835,231746,232749,Tb927.5.570,-,248,90,6,2,284,11,3,0.7857142857142857,0.2142857142857143,223.14285714285714,60.85714285714286,Tb927_05_v5.1:232501..232749:r,False
482,Tb927_05_v5.1,238773,239769,NA_peak_838,239313,239385,Tb927.5.580,-,72,698,33,73,16361,14,1652,0.008403361344537815,0.9915966386554622,137.48739495798318,16223.512605042017,Tb927_05_v5.1:239313..239385:r,False
483,Tb927_05_v5.1,258246,259170,NA_peak_841,259130,260523,Tb927.5.610,-,40,812,39,12,1804,17,59,0.2236842105263158,0.7763157894736842,403.5263157894737,1400.4736842105262,Tb927_05_v5.1:259130..259170:r,False
484,Tb927_05_v5.1,261410,262892,NA_peak_842,262588,263699,Tb927.5.620,-,304,668,14,88,12620,40,551,0.0676818950930626,0.9323181049069373,854.14551607445,11765.85448392555,Tb927_05_v5.1:262588..262892:r,False
485,Tb927_05_v5.1,309019,309384,NA_peak_844,308848,309167,Tb927.5.710,+,148,10,0,0,50,0,0,,,,,Tb927_05_v5.1:309019..309167:f,False
486,Tb927_05_v5.1,311116,312520,NA_peak_845,311262,311911,Tb927.5.730,+,649,2821,118,34,44226,761,15,0.9806701030927835,0.019329896907216537,43371.115979381444,854.8840206185586,Tb927_05_v5.1:311262..311911:f,False
487,Tb927_05_v5.1,313973,315040,NA_peak_846,314105,314429,Tb927.5.750,+,324,342,9,15,3940,15,209,0.06696428571428571,0.9330357142857143,263.8392857142857,3676.160714285714,Tb927_05_v5.1:314105..314429:f,False
488,Tb927_05_v5.1,320141,321081,NA_peak_847,317175,320526,Tb927.5.760,+,385,3284,144,182,30761,777,8,0.9898089171974522,0.010191082802547768,30447.512101910826,313.4878980891719,Tb927_05_v5.1:320141..320526:f,False
489,Tb927_05_v5.1,327635,329776,NA_peak_848,327387,328892,Tb927.5.790,+,1257,453,25,12,5655,216,74,0.7448275862068966,0.2551724137931034,4212.0,1442.9999999999998,Tb927_05_v5.1:327635..328892:f,False
490,Tb927_05_v5.1,330452,332273,NA_peak_849,330484,334686,Tb927.5.800,+,1789,121,9,7,4629,294,23,0.9274447949526814,0.0725552050473186,4293.141955835962,335.85804416403784,Tb927_05_v5.1:330484..332273:f,False
491,Tb927_05_v5.1,337635,340633,NA_peak_850,336204,338288,Tb927.5.810,+,653,794,21,13,11454,348,59,0.855036855036855,0.144963144963145,9793.592137592137,1660.4078624078627,Tb927_05_v5.1:337635..338288:f,False
492,Tb927_05_v5.1,352535,355115,NA_peak_851,351658,353384,Tb927.5.860,+,849,8830,201,196,127502,3085,292,0.9135327213503109,0.08646727864968906,116477.24903760734,11024.750962392654,Tb927_05_v5.1:352535..353384:f,False
493,Tb927_05_v5.1,357048,358473,NA_peak_852,356585,357202,Tb927.5.890,+,154,2719,72,161,29449,892,176,0.8352059925093633,0.16479400749063666,24595.98127340824,4853.018726591759,Tb927_05_v5.1:357048..357202:f,False
494,Tb927_05_v5.1,360350,361788,NA_peak_853,359945,360514,Tb927.5.900,+,164,2403,49,102,23931,715,188,0.7918050941306756,0.20819490586932443,18948.6877076412,4982.312292358803,Tb927_05_v5.1:360350..360514:f,False
