# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-O" "-T" "8" "-F" "SAF" "-a" "count_pca/count_pca.SAF" "-o" "count_pca/count_pca.txt" "BSF_01/res4/BSF_01/BSF_01_sorted.bam" "BSF_03/res4/BSF_03/BSF_03_sorted.bam" "BSF_04/res4/BSF_04/BSF_04_sorted.bam" "BSF_05/res4/BSF_05/BSF_05_sorted.bam" "BSF_06/res4/BSF_06/BSF_06_sorted.bam" "BSF_07/res4/BSF_07/BSF_07_sorted.bam" "BSF_08/res4/BSF_08/BSF_08_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	BSF_01/res4/BSF_01/BSF_01_sorted.bam	BSF_03/res4/BSF_03/BSF_03_sorted.bam	BSF_04/res4/BSF_04/BSF_04_sorted.bam	BSF_05/res4/BSF_05/BSF_05_sorted.bam	BSF_06/res4/BSF_06/BSF_06_sorted.bam	BSF_07/res4/BSF_07/BSF_07_sorted.bam	BSF_08/res4/BSF_08/BSF_08_sorted.bam
Tb927.11.8980	Tb927_11_v5.1	2465916	2466607	.	692	1	83	10	61	13	3	6
Tb927.11.8990	Tb927_11_v5.1	2468239	2469619	.	1381	2630	11289	9226	7157	2270	279	385
Tb927.11.9000	Tb927_11_v5.1	2472485	2473378	.	894	9286	1968	1773	1324	14340	11926	13487
Tb927.11.9010	Tb927_11_v5.1	2474757	2475495	.	739	2017	958	710	773	3489	3743	3427
Tb927.11.9020	Tb927_11_v5.1	2476794	2477466	.	673	2452	1574	1114	1274	5007	5444	4622
Tb927.11.9040	Tb927_11_v5.1	2479327	2480025	.	699	1742	109	83	58	4040	1656	3953
Tb927.11.9060	Tb927_11_v5.1	2483063	2483194	.	132	0	0	3	2	4	1	1
Tb927.11.9070	Tb927_11_v5.1	2484825	2485279	.	455	20	7	5	3	21	12	47
Tb927.11.9080	Tb927_11_v5.1	2489289	2489929	.	641	1071	1895	1051	12	1171	16	8
Tb927.11.9090	Tb927_11_v5.1	2491916	2492078	.	163	1627	1727	398	40	3500	1593	1105
Tb927.11.9100	Tb927_11_v5.1	2493439	2494205	.	767	640	1391	1023	1513	1588	1591	2720
Tb927.11.9110	Tb927_11_v5.1	2496680	2497202	.	523	0	0	0	21	1	0	1
Tb927.11.9160	Tb927_11_v5.1	2512242	2512510	.	269	0	1	1	3	2	1	2
Tb927.11.9170	Tb927_11_v5.1	2515510	2515709	.	200	56	203	61	23	107	21	75
Tb927.11.9180	Tb927_11_v5.1	2516854	2518303	.	1450	1077	5374	5678	2539	205	138	679
Tb927.11.9190	Tb927_11_v5.1	2522710	2522867	.	158	525	164	231	130	192	310	145
Tb927.11.9210	Tb927_11_v5.1	2526803	2526999	.	197	2884	4530	2588	468	1520	282	559
Tb927.11.9220	Tb927_11_v5.1	2530283	2530781	.	499	528	814	422	459	682	187	488
Tb927.11.9240	Tb927_11_v5.1	2538279	2538628	.	350	743	4	6	91	3	0	10
Tb927.11.9250	Tb927_11_v5.1	2540279	2541943	.	1665	3030	75	44	24	1942	2031	1547
Tb927.11.9260	Tb927_11_v5.1	2543864	2544375	.	512	66	177	15	15	386	373	255
Tb927.11.9280	Tb927_11_v5.1	2549711	2550030	.	320	8	3	26	12	45	7	18
Tb927.11.9290	Tb927_11_v5.1	2552710	2554919	.	2210	1038	884	423	321	2357	2061	1952
Tb927.11.9300	Tb927_11_v5.1	2557458	2557852	.	395	28	53	22	6	25	55	29
Tb927.11.9330	Tb927_11_v5.1	2565010	2565674	.	665	379	318	55	153	1229	679	939
Tb927.11.9340	Tb927_11_v5.1	2566891	2567065	.	175	113	36	2	5	198	218	250
Tb927.11.9350	Tb927_11_v5.1	2568420	2568564	.	145	2	2	1	5	1	1	2
Tb927.11.9370	Tb927_11_v5.1	2572983	2573042	.	60	17	0	2	1	8	3	0
Tb927.11.9390	Tb927_11_v5.1	2574937	2575696	.	760	218	124	95	343	44	41	74
Tb927.11.9420	Tb927_11_v5.1	2580678	2581189	.	512	255	1934	814	259	916	1059	636
Tb927.11.9430	Tb927_11_v5.1	2582863	2583237	.	375	481	925	361	215	548	316	366
Tb927.11.9470	Tb927_11_v5.1	2588983	2589147	.	165	300	417	134	154	367	188	171
Tb927.11.9480	Tb927_11_v5.1	2590396	2590490	.	95	168	234	75	66	212	59	135
Tb927.11.9490	Tb927_11_v5.1	2591547	2591636	.	90	1	4	1	29	10	4	4
Tb927.11.9510	Tb927_11_v5.1	2594028	2594662	.	635	143	355	129	139	267	201	69
Tb927.11.9540	Tb927_11_v5.1	2602002	2602476	.	475	401	41	10	129	1137	1335	759
Tb927.11.9600	Tb927_11_v5.1	2612148	2612761	.	614	1091	1352	750	411	905	697	830
Tb927.11.9630	Tb927_11_v5.1	2618472	2619174	.	703	754	547	212	192	679	316	728
Tb927.11.9650	Tb927_11_v5.1	2622418	2623268	.	851	459	463	508	473	984	893	1166
Tb927.11.9690	Tb927_11_v5.1	2630812	2631006	.	195	551	0	1	6	6	2	12
Tb927.11.9720	Tb927_11_v5.1	2633814	2634102	.	289	13	46	50	26	19	24	62
Tb927.11.9750	Tb927_11_v5.1	2636175	2636439	.	265	46	31	25	43	113	46	32
Tb927.11.9760	Tb927_11_v5.1	2638626	2638860	.	235	2030	547	359	121	3902	1962	2608
Tb927.11.9780	Tb927_11_v5.1	2643585	2643799	.	215	0	1	0	2	3	1	3
Tb927.11.9800	Tb927_11_v5.1	2648092	2648181	.	90	1	0	0	0	1	1	1
Tb927.11.9820	Tb927_11_v5.1	2659085	2659339	.	255	0	0	1	4	1	0	1
Tb927.11.9830	Tb927_11_v5.1	2660166	2660276	.	111	121	241	62	33	247	124	188
Tb927.11.9850	Tb927_11_v5.1	2662179	2662210	.	32	10	94	27	11	24	9	10
Tb927.11.9870	Tb927_11_v5.1	2665749	2666788	.	1040	823	461	26	14	1078	1441	982
Tb927.11.9880	Tb927_11_v5.1	2668323	2668497	.	175	0	1	2	2	1	0	2
Tb927.11.9910	Tb927_11_v5.1	2675010	2675093	.	84	8	1	1	0	14	46	5
Tb927.11.9930	Tb927_11_v5.1	2679250	2679639	.	390	99	153	62	120	204	188	274
Tb927.11.9940	Tb927_11_v5.1	2680444	2680548	.	105	946	37	2	9	231	186	133
Tb927.11.9950	Tb927_11_v5.1	2683044	2683123	.	80	4	0	3	2	1	0	1
Tb927.11.9970	Tb927_11_v5.1	2685140	2685459	.	320	12	40	12	24	84	2	6
Tb927.11.9980	Tb927_11_v5.1	2688814	2690324	.	1511	625	347	398	359	959	280	299
Tb927.11.9990	Tb927_11_v5.1	2692296	2692443	.	148	66	44	20	6	48	68	29
Tb927.11.10010	Tb927_11_v5.1	2695500	2696441	.	942	123	43	20	9	18	11	27
Tb927.11.10075	Tb927_11_v5.1	2703926	2704183	.	258	310	645	150	147	419	282	126
Tb927.11.10090	Tb927_11_v5.1	2706804	2707273	.	470	2	3	1	7	3	0	4
Tb927.11.10100	Tb927_11_v5.1	2708052	2708561	.	510	0	7	8	26	2	10	3
Tb927.11.10110	Tb927_11_v5.1	2709898	2710162	.	265	290	714	332	1338	1537	1597	1540
Tb927.11.10120	Tb927_11_v5.1	2712815	2713289	.	475	7065	5360	2625	3633	4538	3592	3712
Tb927.11.10130	Tb927_11_v5.1	2714478	2714592	.	115	0	3	1	20	3	9	2
Tb927.11.10140	Tb927_11_v5.1	2715516	2715955	.	440	1007	261	323	441	2425	2614	2588
Tb927.11.10170	Tb927_11_v5.1	2722143	2722312	.	170	116	43	16	8	535	460	442
Tb927.11.10190	Tb927_11_v5.1	2728386	2728502	.	117	1	43	11	59	0	2	2
Tb927.11.10200	Tb927_11_v5.1	2730222	2730596	.	375	3572	1591	989	740	1370	1331	1607
Tb927.11.10210	Tb927_11_v5.1	2733782	2734281	.	500	484	51	16	61	258	213	167
Tb927.11.10240	Tb927_11_v5.1	2737896	2738562	.	667	1105	30	18	3	392	1529	1355
Tb927.11.10260	Tb927_11_v5.1	2742219	2742593	.	375	4123	1566	462	775	1913	744	927
Tb927.11.10270	Tb927_11_v5.1	2743550	2744069	.	520	71	4	1	6	183	197	304
Tb927.11.10280	Tb927_11_v5.1	2748584	2749353	.	770	1001	144	89	84	1910	1738	2275
Tb927.11.10300	Tb927_11_v5.1	2751036	2751870	.	835	105	83	8	8	687	580	297
Tb927.11.10320	Tb927_11_v5.1	2753500	2753699	.	200	1295	262	108	28	475	392	153
Tb927.11.10330	Tb927_11_v5.1	2755856	2756058	.	203	1089	1864	1317	330	1750	342	840
Tb927.11.10340	Tb927_11_v5.1	2759389	2759664	.	276	8	173	235	200	6	8	3
Tb927.11.10350	Tb927_11_v5.1	2761677	2761951	.	275	566	340	180	77	434	236	123
Tb927.11.10360	Tb927_11_v5.1	2763530	2764283	.	754	997	684	18	7	622	463	796
Tb927.11.10370	Tb927_11_v5.1	2767792	2769371	.	1580	1557	562	13	51	4950	3052	1626
Tb927.11.10380	Tb927_11_v5.1	2770879	2771657	.	779	2122	255	71	34	926	585	561
Tb927.11.10390	Tb927_11_v5.1	2774096	2774215	.	120	594	10	1	4	6	2	3
Tb927.11.10400	Tb927_11_v5.1	2775085	2775259	.	175	1056	923	35	9	39	996	610
Tb927.11.10410	Tb927_11_v5.1	2776121	2776855	.	735	7542	1014	3	3	543	284	5437
Tb927.11.10420	Tb927_11_v5.1	2777530	2777829	.	300	0	1	3	3	7	2	0
Tb927.11.10430	Tb927_11_v5.1	2779874	2780203	.	330	19	2	5	31	35	102	44
Tb927.11.10460	Tb927_11_v5.1	2784611	2785185	.	575	1685	257	119	18	339	591	1446
Tb927.11.10490	Tb927_11_v5.1	2794549	2794868	.	320	1179	219	179	63	749	772	707
Tb927.11.10500	Tb927_11_v5.1	2796752	2796946	.	195	168	222	128	3	371	75	240
Tb927.11.10520	Tb927_11_v5.1	2802596	2803615	.	1020	810	1474	134	235	440	83	206
Tb927.11.10560	Tb927_11_v5.1	2814119	2815966	.	1848	887	1032	286	463	168	101	316
Tb927.11.10630	Tb927_11_v5.1	2833350	2833659	.	310	284	384	48	143	427	239	274
Tb927.11.10660	Tb927_11_v5.1	2856548	2856812	.	265	0	1	1	3	1	0	2
Tb927.11.10670	Tb927_11_v5.1	2860984	2862048	.	1065	2969	2258	67	253	2556	1747	3742
Tb927.11.10690	Tb927_11_v5.1	2863603	2863677	.	75	19	54	3	24	108	127	67
Tb927.11.10700	Tb927_11_v5.1	2864644	2864898	.	255	27	28	13	3	319	60	140
Tb927.11.10740	Tb927_11_v5.1	2877362	2877466	.	105	1094	185	149	141	2251	2913	3139
Tb927.11.10750	Tb927_11_v5.1	2879376	2879625	.	250	1	5	3	3	2	0	8
Tb927.11.10760	Tb927_11_v5.1	2881805	2882079	.	275	1642	5383	3409	2916	1119	534	624
Tb927.11.10780	Tb927_11_v5.1	2886457	2886796	.	340	1698	1745	296	111	1091	322	147
Tb927.11.10800	Tb927_11_v5.1	2889025	2889454	.	430	23	76	8	34	20	7	8
Tb927.11.10810	Tb927_11_v5.1	2892141	2894607	.	2467	337	5464	5959	8104	228	74	161
Tb927.11.10820	Tb927_11_v5.1	2896074	2896918	.	845	5884	1272	1216	8	1603	830	718
Tb927.11.10840	Tb927_11_v5.1	2898692	2898841	.	150	1625	23	57	4	1885	1624	1918
Tb927.11.10850	Tb927_11_v5.1	2900371	2900585	.	215	410	411	106	43	743	573	820
Tb927.11.10860	Tb927_11_v5.1	2902059	2902383	.	325	3	7	4	0	9	16	6
Tb927.11.10870	Tb927_11_v5.1	2903282	2904246	.	965	1233	199	9	68	1047	886	724
Tb927.11.10890	Tb927_11_v5.1	2907913	2908130	.	218	1360	270	113	81	465	287	338
Tb927.11.10900	Tb927_11_v5.1	2910933	2911137	.	205	669	42	0	2	351	447	356
Tb927.11.10930	Tb927_11_v5.1	2916715	2916984	.	270	1429	657	182	104	1449	923	1073
Tb927.11.10940	Tb927_11_v5.1	2918238	2923505	.	5268	7069	11745	5341	3873	3708	1493	1034
Tb927.11.10950	Tb927_11_v5.1	2924713	2924862	.	150	113	42	36	14	1732	497	1118
Tb11.01.2730	Tb927_11_v5.1	2933675	2934009	.	335	1347	2134	1907	1649	631	410	286
Tb927.11.10970	Tb927_11_v5.1	2937629	2937858	.	230	7	1	1	6	33	14	13
Tb927.11.10990	Tb927_11_v5.1	2940177	2940601	.	425	514	125	70	41	218	33	97
Tb927.11.11000	Tb927_11_v5.1	2942398	2943262	.	865	1213	637	319	185	630	1148	548
Tb927.11.11020	Tb927_11_v5.1	2950633	2951047	.	415	437	273	5	7	261	59	2465
Tb927.11.11075	Tb927_11_v5.1	2966549	2966643	.	95	745	21	3	5	2797	1506	2134
Tb927.11.11080	Tb927_11_v5.1	2971250	2971270	.	21	614	2655	1911	1717	731	574	690
Tb927.11.11090	Tb927_11_v5.1	2975797	2975816	.	20	28	0	1	0	0	2	1
Tb927.11.11140	Tb927_11_v5.1	2983930	2984959	.	1030	20	23	7	12	50	4	7
Tb927.11.11210	Tb927_11_v5.1	2995237	2995792	.	556	94	133	61	128	240	179	146
Tb927.11.11260	Tb927_11_v5.1	3014671	3014935	.	265	58	70	6	5	55	111	25
Tb927.11.11280	Tb927_11_v5.1	3020108	3020757	.	650	425	1389	1013	683	425	430	390
Tb927.11.11290	Tb927_11_v5.1	3022919	3023192	.	274	267	42	19	4	47	2	13
Tb927.11.11300	Tb927_11_v5.1	3023901	3024015	.	115	111	35	6	13	30	18	6
Tb927.11.11310	Tb927_11_v5.1	3025716	3025945	.	230	124	79	59	29	446	162	165
Tb927.11.11330	Tb927_11_v5.1	3030667	3030901	.	235	1795	1531	1252	1025	464	320	248
Tb927.11.11340	Tb927_11_v5.1	3033323	3033900	.	578	1882	127	45	17	114	338	150
Tb927.11.11380	Tb927_11_v5.1	3040296	3040590	.	295	0	4	6	6	6	6	2
Tb927.11.11430	Tb927_11_v5.1	3062806	3063813	.	1008	693	2375	1459	1188	266	57	51
Tb927.11.11435	Tb927_11_v5.1	3064357	3064787	.	431	743	3065	1975	1603	310	68	63
Tb927.11.11440	Tb927_11_v5.1	3066981	3067068	.	88	1737	69	29	4	1621	1589	1452
Tb927.11.11450	Tb927_11_v5.1	3069298	3069387	.	90	7	7	4	0	1	0	1
Tb927.11.11470	Tb927_11_v5.1	3073246	3073465	.	220	20	4	0	17	6	7	8
Tb927.11.11480	Tb927_11_v5.1	3077461	3079420	.	1960	2334	6859	5833	5990	1068	959	991
Tb927.11.11500	Tb927_11_v5.1	3084038	3085146	.	1109	633	109	25	11	463	89	107
Tb927.11.11520	Tb927_11_v5.1	3087398	3088044	.	647	28	20	16	25	75	33	99
Tb927.11.11550	Tb927_11_v5.1	3095947	3096246	.	300	280	859	673	690	76	82	56
Tb927.11.11560	Tb927_11_v5.1	3102037	3102506	.	470	198	1562	1047	116	252	323	46
Tb927.11.11600	Tb927_11_v5.1	3116661	3117250	.	590	1098	1313	198	77	2052	1610	3084
Tb927.11.11630	Tb927_11_v5.1	3121932	3122561	.	630	18	34	2	15	48	5	45
Tb927.11.11640	Tb927_11_v5.1	3125419	3125578	.	160	95	178	11	5	117	38	67
Tb927.11.11650	Tb927_11_v5.1	3128794	3129083	.	290	2096	382	82	83	722	387	2258
Tb927.11.11660	Tb927_11_v5.1	3130333	3130372	.	40	36	20	6	1	106	62	75
Tb927.11.11680	Tb927_11_v5.1	3133836	3135705	.	1870	1397	19756	19651	20904	213	166	59
Tb927.11.11700	Tb927_11_v5.1	3140432	3140874	.	443	171	84	106	96	5	7	7
Tb927.11.11720	Tb927_11_v5.1	3144893	3145032	.	140	1	0	0	1	5	2	8
Tb927.11.11770	Tb927_11_v5.1	3156921	3159842	.	2922	1927	13132	17446	23855	2102	2076	2208
Tb927.11.11790	Tb927_11_v5.1	3164898	3165127	.	230	2084	388	340	39	2141	1874	1405
Tb927.11.11810	Tb927_11_v5.1	3171860	3172189	.	330	130	16	3	5	244	385	176
Tb927.11.11850	Tb927_11_v5.1	3178410	3178879	.	470	65	140	7	91	6	3	8
Tb927.11.11870	Tb927_11_v5.1	3182797	3182976	.	180	247	179	27	7	617	471	358
Tb927.11.11880	Tb927_11_v5.1	3187369	3187624	.	256	0	25	26	2	1	1	14
Tb927.11.11920	Tb927_11_v5.1	3195412	3195891	.	480	3925	2804	2017	13	1279	560	415
Tb927.11.11940	Tb927_11_v5.1	3198275	3198594	.	320	24	0	5	4	4	16	4
Tb927.11.11950	Tb927_11_v5.1	3199996	3200595	.	600	205	275	112	67	296	187	373
Tb927.11.11960	Tb927_11_v5.1	3201618	3202136	.	519	702	697	343	151	929	667	1100
Tb927.11.11965	Tb927_11_v5.1	3205479	3205878	.	400	245	400	246	194	257	168	1924
Tb927.11.11980	Tb927_11_v5.1	3216456	3216845	.	390	168	290	163	120	170	129	1359
Tb927.11.12020	Tb927_11_v5.1	3223503	3223537	.	35	307	169	25	40	151	226	296
Tb927.11.12050	Tb927_11_v5.1	3228046	3228130	.	85	78	166	46	6	21	22	33
Tb927.11.12060	Tb927_11_v5.1	3229221	3229390	.	170	151	56	16	73	224	232	257
Tb927.11.12090	Tb927_11_v5.1	3232432	3232476	.	45	0	1	0	0	2	0	0
Tb927.11.12100	Tb927_11_v5.1	3233063	3234301	.	1239	1444	1012	1941	3806	324	409	326
Tb927.11.12110	Tb927_11_v5.1	3238410	3238512	.	103	1	1	1	0	2	1	2
Tb927.11.12160	Tb927_11_v5.1	3252510	3253244	.	735	11	2	3	2	26	12	52
Tb927.11.12180	Tb927_11_v5.1	3258643	3260837	.	2195	10600	1983	1157	1106	8999	9716	12844
Tb927.11.12190	Tb927_11_v5.1	3262745	3263059	.	315	1674	93	13	16	1041	2609	215
Tb927.11.12210	Tb927_11_v5.1	3265544	3267076	.	1533	2293	9090	6553	5835	12220	9941	12771
Tb927.11.12220	Tb927_11_v5.1	3269662	3270096	.	435	2	8	2	2	1	0	3
Tb927.11.12250	Tb927_11_v5.1	3278614	3278703	.	90	6	14	1	4	0	1	0
Tb927.11.12260	Tb927_11_v5.1	3280716	3280835	.	120	400	82	37	36	1060	614	974
Tb927.11.12270	Tb927_11_v5.1	3282757	3283553	.	797	36	2	6	3	53	98	34
Tb927.11.12280	Tb927_11_v5.1	3285887	3286456	.	570	54	96	131	85	113	41	136
Tb927.11.12290	Tb927_11_v5.1	3288129	3288399	.	271	6	1	0	2	25	33	61
Tb927.11.12360	Tb927_11_v5.1	3302727	3302961	.	235	31	1	4	4	104	104	107
Tb927.11.12390	Tb927_11_v5.1	3309824	3310063	.	240	508	93	32	171	2427	2192	1362
Tb927.11.12430	Tb927_11_v5.1	3329496	3330645	.	1150	5497	2323	1810	72	3636	574	697
Tb927.11.12440	Tb927_11_v5.1	3331954	3333328	.	1375	490	110	69	18	64	166	15
Tb927.11.12460	Tb927_11_v5.1	3338689	3338933	.	245	435	499	189	83	482	361	239
Tb927.11.12470	Tb927_11_v5.1	3345950	3346079	.	130	887	626	287	123	329	272	204
Tb927.11.12490	Tb927_11_v5.1	3351167	3351966	.	800	634	10	5	29	56	56	50
Tb927.11.12560	Tb927_11_v5.1	3369648	3370817	.	1170	4375	1981	1081	582	3839	1599	4042
Tb927.11.12580	Tb927_11_v5.1	3373404	3373481	.	78	1030	14	5	6	269	519	151
Tb927.11.12600	Tb927_11_v5.1	3378511	3379020	.	510	2644	285	171	133	2473	2056	2611
Tb927.11.12620	Tb927_11_v5.1	3382984	3384048	.	1065	3680	733	1420	1694	11039	6759	10972
Tb927.11.12640	Tb927_11_v5.1	3389346	3389620	.	275	3516	875	312	181	2409	2073	2684
Tb927.11.12700	Tb927_11_v5.1	3399799	3399868	.	70	437	2	0	2	125	147	66
Tb927.11.12710	Tb927_11_v5.1	3404100	3404758	.	659	892	22	6	2	503	509	580
Tb927.11.12760	Tb927_11_v5.1	3413503	3413707	.	205	8	35	4	18	2	4	2
Tb927.11.12830	Tb927_11_v5.1	3431563	3431676	.	114	1159	119	30	22	293	153	191
Tb927.11.12840	Tb927_11_v5.1	3434203	3434952	.	750	1	1	2	7	4	16	3
Tb927.11.12850	Tb927_11_v5.1	3447068	3447970	.	903	3852	6556	2391	731	5911	5056	4353
Tb927.11.12870	Tb927_11_v5.1	3451816	3453662	.	1847	1127	118	86	44	2624	2521	2198
Tb927.11.12910	Tb927_11_v5.1	3460824	3461138	.	315	1116	126	20	6	1958	1140	1435
Tb927.11.12920	Tb927_11_v5.1	3462116	3462665	.	550	1242	145	22	16	2476	1495	2017
Tb927.11.12970	Tb927_11_v5.1	3470701	3471170	.	470	873	1713	527	160	1334	700	914
Tb927.11.13000	Tb927_11_v5.1	3475750	3476887	.	1138	2578	697	108	83	867	552	615
Tb927.11.13010	Tb927_11_v5.1	3483692	3484181	.	490	738	157	97	45	950	754	636
Tb927.11.13060	Tb927_11_v5.1	3488593	3488772	.	180	0	0	2	1	146	1	2
Tb927.11.13080	Tb927_11_v5.1	3494354	3494848	.	495	2423	585	112	82	3992	3360	3395
Tb927.11.13100	Tb927_11_v5.1	3498518	3498982	.	465	5142	146	38	23	6503	5083	6581
Tb927.11.13110	Tb927_11_v5.1	3500612	3502581	.	1970	26	240	8	15	14	24	228
Tb927.11.13120	Tb927_11_v5.1	3509089	3509093	.	5	13	64	58	3	26	10	30
Tb927.11.13130	Tb927_11_v5.1	3517368	3517826	.	459	1444	679	71	10	1092	962	1134
Tb927.11.13140	Tb927_11_v5.1	3520635	3520861	.	227	19	2	8	5	168	110	217
Tb927.11.13150	Tb927_11_v5.1	3525087	3525441	.	355	57	29	23	34	18	156	13
Tb927.11.13170	Tb927_11_v5.1	3533142	3533311	.	170	0	4	4	2	0	0	5
Tb927.11.13180	Tb927_11_v5.1	3534781	3535939	.	1159	1	7	5	14	4	8	5
Tb927.11.13200	Tb927_11_v5.1	3539678	3540932	.	1255	7640	3505	148	33	14924	6564	8321
Tb927.11.13210	Tb927_11_v5.1	3542763	3543262	.	500	202	6	12	8	181	173	120
Tb927.11.13220	Tb927_11_v5.1	3544458	3544952	.	495	5	5	1	9	42	109	101
Tb927.11.13230	Tb927_11_v5.1	3547083	3549292	.	2210	3949	5216	5219	4276	2642	2450	2125
Tb927.11.13250	Tb927_11_v5.1	3552717	3552955	.	239	481	566	415	453	254	44	89
Tb927.11.13270	Tb927_11_v5.1	3556879	3559913	.	3035	5906	23122	23604	30640	8193	2616	2201
Tb927.11.13280	Tb927_11_v5.1	3561494	3562139	.	646	401	638	428	206	71	4	17
Tb927.11.13290	Tb927_11_v5.1	3563133	3563571	.	439	89	87	48	24	38	2	7
Tb927.11.13330	Tb927_11_v5.1	3571027	3571191	.	165	12	3	0	1	2	13	5
Tb927.11.13340	Tb927_11_v5.1	3572629	3573348	.	720	1410	526	468	251	230	189	151
Tb927.11.13350	Tb927_11_v5.1	3576080	3576482	.	403	4	18	34	4	254	14	39
Tb927.11.13360	Tb927_11_v5.1	3578992	3579656	.	665	637	144	47	9	89	89	54
Tb927.11.13370	Tb927_11_v5.1	3583864	3584048	.	185	1365	735	192	313	1722	1180	1703
Tb927.11.13380	Tb927_11_v5.1	3585006	3586135	.	1130	3875	2722	859	1391	4257	3238	6520
Tb927.11.13400	Tb927_11_v5.1	3593617	3593750	.	134	358	91	32	44	476	242	315
Tb927.11.13410	Tb927_11_v5.1	3595875	3596224	.	350	180	248	254	157	455	349	209
Tb927.11.13440	Tb927_11_v5.1	3599455	3600094	.	640	3029	188	165	50	3363	2116	6379
Tb927.11.13470	Tb927_11_v5.1	3605023	3605397	.	375	72	65	61	11	87	201	27
Tb927.11.13480	Tb927_11_v5.1	3606226	3606450	.	225	9	68	19	10	37	7	9
Tb927.11.13490	Tb927_11_v5.1	3607472	3607836	.	365	650	1416	468	263	862	618	714
Tb927.11.13500	Tb927_11_v5.1	3610030	3610616	.	587	429	408	330	72	326	271	781
Tb927.11.13510	Tb927_11_v5.1	3612619	3613383	.	765	805	207	66	52	597	830	1112
Tb927.11.13520	Tb927_11_v5.1	3615115	3615255	.	141	0	2	0	5	0	0	1
Tb927.11.13530	Tb927_11_v5.1	3618409	3618668	.	260	626	46	2	15	174	122	181
Tb927.11.13540	Tb927_11_v5.1	3619540	3619639	.	100	149	36	5	11	412	290	302
Tb927.11.13550	Tb927_11_v5.1	3621291	3622319	.	1029	1984	1110	139	376	2446	2151	4480
Tb927.11.13580	Tb927_11_v5.1	3627609	3627888	.	280	126	319	175	158	200	216	118
Tb927.11.13600	Tb927_11_v5.1	3630069	3630313	.	245	229	51	5	10	13	3	32
Tb927.11.13610	Tb927_11_v5.1	3631531	3631810	.	280	314	20	1	11	77	55	47
Tb927.11.13640	Tb927_11_v5.1	3633403	3635537	.	2135	3613	4952	6103	8362	1326	1161	1337
Tb927.11.13680	Tb927_11_v5.1	3645224	3645443	.	220	917	303	319	165	94	38	47
Tb927.11.13700	Tb927_11_v5.1	3648359	3648468	.	110	185	200	175	85	12	10	6
Tb927.11.13730	Tb927_11_v5.1	3657155	3657574	.	420	106	656	689	402	219	30	26
Tb927.11.13790	Tb927_11_v5.1	3674631	3675655	.	1025	1155	33	28	19	7061	5687	6578
Tb927.11.13800	Tb927_11_v5.1	3676147	3676226	.	80	364	10	10	6	2404	1888	2187
Tb927.11.13840	Tb927_11_v5.1	3683637	3683702	.	66	407	1	2	1	9	10	17
Tb927.11.13870	Tb927_11_v5.1	3687622	3687881	.	260	10	46	1	7	15	5	8
Tb927.11.13880	Tb927_11_v5.1	3689532	3690436	.	905	370	464	255	204	291	249	202
Tb927.11.13920	Tb927_11_v5.1	3696838	3697292	.	455	125	25	5	8	470	469	725
Tb927.11.13940	Tb927_11_v5.1	3699301	3701095	.	1795	746	174	123	81	727	634	390
Tb927.11.13930	Tb927_11_v5.1	3698111	3698297	.	187	82	76	17	4	68	44	14
Tb927.11.13950	Tb927_11_v5.1	3703200	3703273	.	74	23	534	272	88	11	22	4
Tb927.11.13980	Tb927_11_v5.1	3707696	3707908	.	213	837	1361	714	424	1126	958	1094
Tb927.11.14010	Tb927_11_v5.1	3711329	3711373	.	45	574	1	0	3	17	1	15
Tb927.11.14040	Tb927_11_v5.1	3717700	3717869	.	170	116	269	183	293	127	75	47
Tb927.11.14070	Tb927_11_v5.1	3724277	3725744	.	1468	2080	9768	8030	7088	163	40	77
Tb927.11.14080	Tb927_11_v5.1	3727427	3730754	.	3328	884	2428	554	470	1540	960	293
Tb927.11.14090	Tb927_11_v5.1	3732657	3733456	.	800	842	273	47	6	577	499	1168
Tb927.11.14110	Tb927_11_v5.1	3741958	3742397	.	440	3	2	3	2	36	2	3
Tb927.11.14150	Tb927_11_v5.1	3749140	3749219	.	80	215	136	31	22	570	351	231
Tb927.11.14165	Tb927_11_v5.1	3752085	3755444	.	3360	1423	454	226	384	1130	841	1356
Tb927.11.14200	Tb927_11_v5.1	3765359	3766618	.	1260	2172	2707	2532	2997	461	269	916
Tb927.11.14210	Tb927_11_v5.1	3771168	3771517	.	350	3017	5283	6023	3036	189	67	29
Tb927.11.14230	Tb927_11_v5.1	3789032	3789770	.	739	2794	23	9	57	4927	5850	4540
Tb927.11.14280	Tb927_11_v5.1	3801219	3801978	.	760	1271	92	25	18	1084	148	435
Tb927.11.14330	Tb927_11_v5.1	3813488	3814717	.	1230	2326	4904	2066	1011	1667	435	465
Tb927.11.14340	Tb927_11_v5.1	3818204	3818833	.	630	454	344	131	51	1233	871	1136
Tb927.11.14350	Tb927_11_v5.1	3820089	3820668	.	580	167	113	26	11	488	449	562
Tb927.11.14400	Tb927_11_v5.1	3831533	3832212	.	680	177	53	7	2	495	318	551
Tb927.11.14410	Tb927_11_v5.1	3833949	3834345	.	397	6	9	6	0	1	134	2
Tb927.11.14440	Tb927_11_v5.1	3840493	3840772	.	280	0	1	0	3	0	1	2
